Feature,Repeat,Multilabel MCC drop,Micro-AUPR drop
HRT_d,1,0.0,-0.0034503002327646026
HRT_d,2,0.0,-0.0023917152366103034
HRT_d,3,0.0,-0.002567229613064659
HRT_d,4,0.0,-0.002287637908176987
HRT_d,5,0.007204672799780987,-0.0036951219114192413
HRT_d,6,0.0,-0.0007553488265127362
HRT_d,7,0.0,-0.0014086492014916963
HRT_d,8,0.0,-0.0014967172294952924
HRT_d,9,0.0,0.0012368035973365776
HRT_d,10,0.007204672799780987,-0.0019333250733586937
HRT_d,11,0.0,-0.000490069039633001
HRT_d,12,0.0,-0.0013052578621712274
HRT_d,13,0.0,-0.001337597529450174
HRT_d,14,0.0,-0.00013137256769812922
HRT_d,15,0.015783684104106133,-0.002140325726730119
HRT_d,16,0.007204672799780987,-0.002802799035179271
HRT_d,17,0.0,0.00015075643993867072
HRT_d,18,0.0,-0.004230239008792103
HRT_d,19,0.007204672799780987,-0.003059451150307313
HRT_d,20,0.007204672799780987,0.0002753472610130814
HRT_d,21,0.007204672799780987,-0.0007340704548703392
HRT_d,22,0.0,-0.0018228266677483007
HRT_d,23,0.0,-0.0008963481825465802
HRT_d,24,0.015783684104106133,-0.002856265032470995
HRT_d,25,0.007204672799780987,-0.00041312651677449796
HRT_d,26,0.0,-0.001185691905719044
HRT_d,27,0.0,-0.001265548449576659
HRT_d,28,0.0,-0.003393201296268411
HRT_d,29,0.007204672799780987,-0.0007738826107588914
HRT_d,30,0.007204672799780987,-0.0029739562072338965
T_C,1,0.0,0.0006198464086339395
T_C,2,0.0,0.005194186587878624
T_C,3,0.0,0.0052283082296200045
T_C,4,0.0,-0.003145571962201388
T_C,5,0.015783684104106133,-0.0003240567956653284
T_C,6,0.015783684104106133,0.0049577586592187695
T_C,7,0.015783684104106133,-2.7353917163797092e-05
T_C,8,0.015783684104106133,-0.0017177805629857712
T_C,9,0.0,0.0013079526771530015
T_C,10,0.015783684104106133,0.005458728807855584
T_C,11,0.015783684104106133,-0.0014731935904420124
T_C,12,0.0,-0.0008631666866161791
T_C,13,0.0,0.0004032615201333134
T_C,14,0.015783684104106133,0.0053782658340030265
T_C,15,0.0,0.003229406278835112
T_C,16,0.0,-0.001123595299680591
T_C,17,0.015783684104106133,-0.0021465260161036004
T_C,18,0.015783684104106133,-0.0009762634766965483
T_C,19,0.0,-0.0004440640707234489
