fold,feature
2,BAC_C::Thermoanaerobaculia
2,BAC_C::Thermoleophilia
2,BAC_C::Thermotogae
2,BAC_C::Thermovenabulia
2,BAC_C::Vampirivibrionia
2,BAC_C::Verrucomicrobiae
2,BAC_C::Vicinamibacteria
2,BAC_C::WCHB1-81
2,BAC_C::WPS-2
2,BAC_C::WS1
2,BAC_C::WWE3
2,BAC_C::Zixibacteria
2,BAC_C::c5LKS83
2,BAC_C::unidentified
2,ARC_C::Aenigmarchaeia
2,ARC_C::Bathyarchaeia
2,ARC_C::Ichthyosporea
2,ARC_C::Lokiarchaeia
2,ARC_C::Methanomethylicia
2,ARC_C::Methanomicrobia
2,ARC_C::Methanosarcinia
2,ARC_C::Micrarchaeia
2,ARC_C::Nanoarchaeia
2,ARC_C::Nitrososphaeria
2,ARC_C::Thermococci
2,ARC_C::Thermoplasmata
2,ARC_C::unidentified
3,BAC_C::ABY1
3,BAC_C::Acetothermiia
3,BAC_C::Acidimicrobiia
3,BAC_C::Acidobacteriae
3,BAC_C::Actinobacteria
3,BAC_C::Alphaproteobacteria
3,BAC_C::Aminicenantia
3,BAC_C::Anaerolineae
3,BAC_C::BRH-c20a
3,BAC_C::Babeliae
3,BAC_C::Bacilli
3,BAC_C::Bacteroidia
3,BAC_C::Bdellovibrionia
3,BAC_C::Blastocatellia
3,BAC_C::Brachyspirae
3,BAC_C::CK-2C2-2
3,BAC_C::Caldatribacteriia
3,BAC_C::Caldisericia
3,BAC_C::Campylobacteria
3,BAC_C::Chlamydiae
3,BAC_C::Chthonomonadetes
3,BAC_C::Cloacimonadia
3,BAC_C::Clostridia
3,BAC_C::Coprothermobacteria
3,BAC_C::Coriobacteriia
3,BAC_C::D8A-2
3,BAC_C::Deinococci
3,BAC_C::Desulfitobacteriia
3,BAC_C::Desulfobulbia
3,BAC_C::Desulfotomaculia
3,BAC_C::Desulfovibrionia
3,BAC_C::Desulfuromonadia
3,BAC_C::Dethiobacteria
3,BAC_C::Endomicrobia
3,BAC_C::Fermentibacteria
3,BAC_C::Fibrobacteria
3,BAC_C::Fimbriimonadia
3,BAC_C::Fusobacteriia
3,BAC_C::Gammaproteobacteria
3,BAC_C::Gemmatimonadetes
3,BAC_C::Gracilibacteria
3,BAC_C::Halanaerobiia
3,BAC_C::Holophagae
3,BAC_C::Hydrogenedentia
3,BAC_C::Hydrothermae
3,BAC_C::Ignavibacteria
3,BAC_C::Incertae_Sedis
3,BAC_C::JS1
3,BAC_C::Kapabacteria
3,BAC_C::Kiritimatiellae
3,BAC_C::Lentisphaeria
3,BAC_C::Leptospirae
3,BAC_C::Limnochordia
3,BAC_C::MVP-15
3,BAC_C::Marinimicrobia_(SAR406_clade)
3,BAC_C::Microgenomatia
3,BAC_C::Moorellia
3,BAC_C::Myxococcia
3,BAC_C::NKB15
3,BAC_C::Negativicutes
3,BAC_C::Nitrospiria
3,BAC_C::OLB14
3,BAC_C::Oligoflexia
3,BAC_C::Omnitrophia
3,BAC_C::Parcubacteria
3,BAC_C::Phycisphaerae
3,BAC_C::Pla3_lineage
3,BAC_C::Planctomycetes
3,BAC_C::Polyangia
3,BAC_C::RBG-16-55-12
3,BAC_C::SJA-28
3,BAC_C::Saccharimonadia
3,BAC_C::Spirochaetia
3,BAC_C::Sumerlaeia
3,BAC_C::Sva0485
3,BAC_C::Symbiobacteriia
3,BAC_C::Synergistia
3,BAC_C::Syntrophia
3,BAC_C::Syntrophobacteria
3,BAC_C::Syntrophomonadia
3,BAC_C::Syntrophorhabdia
3,BAC_C::TA06
3,BAC_C::Thermacetogenia
3,BAC_C::Thermoanaerobacteria
3,BAC_C::Thermoanaerobaculia
3,BAC_C::Thermoleophilia
3,BAC_C::Thermotogae
3,BAC_C::Thermovenabulia
3,BAC_C::Vampirivibrionia
3,BAC_C::Verrucomicrobiae
3,BAC_C::Vicinamibacteria
3,BAC_C::WCHB1-81
3,BAC_C::WPS-2
3,BAC_C::WS1
3,BAC_C::WWE3
3,BAC_C::Zixibacteria
3,BAC_C::c5LKS83
3,BAC_C::unidentified
3,ARC_C::Actinopterygii
3,ARC_C::Aenigmarchaeia
3,ARC_C::Bathyarchaeia
3,ARC_C::Bivalvia
3,ARC_C::Ichthyosporea
3,ARC_C::Lokiarchaeia
3,ARC_C::Methanomethylicia
3,ARC_C::Methanomicrobia
3,ARC_C::Methanosarcinia
3,ARC_C::Micrarchaeia
3,ARC_C::Nanoarchaeia
3,ARC_C::Nitrososphaeria
3,ARC_C::Thermococci
3,ARC_C::Thermoplasmata
3,ARC_C::unidentified
4,BAC_C::ABY1
4,BAC_C::Acetothermiia
4,BAC_C::Acidimicrobiia
4,BAC_C::Acidobacteriae
4,BAC_C::Actinobacteria
4,BAC_C::Alphaproteobacteria
4,BAC_C::Aminicenantia
4,BAC_C::Anaerolineae
4,BAC_C::BRH-c20a
4,BAC_C::Babeliae
4,BAC_C::Bacilli
4,BAC_C::Bacteroidia
4,BAC_C::Bdellovibrionia
4,BAC_C::Blastocatellia
4,BAC_C::Brachyspirae
4,BAC_C::CK-2C2-2
4,BAC_C::Caldatribacteriia
4,BAC_C::Caldisericia
4,BAC_C::Campylobacteria
4,BAC_C::Chlamydiae
4,BAC_C::Chthonomonadetes
4,BAC_C::Cloacimonadia
4,BAC_C::Clostridia
4,BAC_C::Coprothermobacteria
4,BAC_C::Coriobacteriia
4,BAC_C::D8A-2
4,BAC_C::Deinococci
4,BAC_C::Desulfitobacteriia
4,BAC_C::Desulfobulbia
4,BAC_C::Desulfotomaculia
4,BAC_C::Desulfovibrionia
4,BAC_C::Desulfuromonadia
4,BAC_C::Dethiobacteria
4,BAC_C::Endomicrobia
4,BAC_C::Fermentibacteria
4,BAC_C::Fibrobacteria
4,BAC_C::Fimbriimonadia
4,BAC_C::Fusobacteriia
4,BAC_C::Gammaproteobacteria
4,BAC_C::Gemmatimonadetes
4,BAC_C::Gracilibacteria
4,BAC_C::Halanaerobiia
4,BAC_C::Holophagae
4,BAC_C::Hydrogenedentia
4,BAC_C::Hydrothermae
4,BAC_C::Ignavibacteria
4,BAC_C::Incertae_Sedis
4,BAC_C::JS1
4,BAC_C::Kapabacteria
4,BAC_C::Kiritimatiellae
4,BAC_C::Lentisphaeria
4,BAC_C::Leptospirae
4,BAC_C::Limnochordia
4,BAC_C::MVP-15
4,BAC_C::Marinimicrobia_(SAR406_clade)
4,BAC_C::Microgenomatia
4,BAC_C::Moorellia
4,BAC_C::Myxococcia
4,BAC_C::NKB15
4,BAC_C::Negativicutes
4,BAC_C::Nitrospiria
4,BAC_C::OLB14
4,BAC_C::Oligoflexia
4,BAC_C::Omnitrophia
4,BAC_C::Parcubacteria
4,BAC_C::Phycisphaerae
4,BAC_C::Pla3_lineage
4,BAC_C::Planctomycetes
4,BAC_C::Polyangia
4,BAC_C::RBG-16-55-12
4,BAC_C::SJA-28
4,BAC_C::Saccharimonadia
4,BAC_C::Spirochaetia
4,BAC_C::Sumerlaeia
4,BAC_C::Sva0485
4,BAC_C::Symbiobacteriia
4,BAC_C::Synergistia
4,BAC_C::Syntrophia
4,BAC_C::Syntrophobacteria
4,BAC_C::Syntrophomonadia
4,BAC_C::Syntrophorhabdia
4,BAC_C::TA06
4,BAC_C::Thermacetogenia
4,BAC_C::Thermoanaerobacteria
4,BAC_C::Thermoanaerobaculia
4,BAC_C::Thermoleophilia
4,BAC_C::Thermotogae
4,BAC_C::Thermovenabulia
4,BAC_C::Verrucomicrobiae
4,BAC_C::Vicinamibacteria
4,BAC_C::WCHB1-81
4,BAC_C::WPS-2
4,BAC_C::WS1
4,BAC_C::WWE3
4,BAC_C::Zixibacteria
4,BAC_C::c5LKS83
4,BAC_C::unidentified
4,ARC_C::Actinopterygii
4,ARC_C::Aenigmarchaeia
4,ARC_C::Bathyarchaeia
4,ARC_C::Bivalvia
4,ARC_C::Lokiarchaeia
4,ARC_C::Methanomethylicia
4,ARC_C::Methanomicrobia
4,ARC_C::Methanosarcinia
4,ARC_C::Micrarchaeia
4,ARC_C::Nanoarchaeia
4,ARC_C::Nitrososphaeria
4,ARC_C::Thermococci
4,ARC_C::Thermoplasmata
4,ARC_C::unidentified
5,BAC_C::ABY1
5,BAC_C::Acidimicrobiia
5,BAC_C::Acidobacteriae
5,BAC_C::Actinobacteria
5,BAC_C::Alphaproteobacteria
5,BAC_C::Aminicenantia
5,BAC_C::Anaerolineae
5,BAC_C::BRH-c20a
5,BAC_C::Babeliae
5,BAC_C::Bacilli
5,BAC_C::Bacteroidia
5,BAC_C::Bdellovibrionia
5,BAC_C::Blastocatellia
5,BAC_C::Brachyspirae
5,BAC_C::CK-2C2-2
5,BAC_C::Caldatribacteriia
5,BAC_C::Caldisericia
5,BAC_C::Campylobacteria
5,BAC_C::Chlamydiae
5,BAC_C::Chthonomonadetes
5,BAC_C::Cloacimonadia
5,BAC_C::Clostridia
5,BAC_C::Coprothermobacteria
5,BAC_C::Coriobacteriia
5,BAC_C::D8A-2
5,BAC_C::Deinococci
5,BAC_C::Desulfitobacteriia
5,BAC_C::Desulfobulbia
5,BAC_C::Desulfotomaculia
5,BAC_C::Desulfovibrionia
5,BAC_C::Desulfuromonadia
5,BAC_C::Dethiobacteria
5,BAC_C::Endomicrobia
5,BAC_C::Fermentibacteria
5,BAC_C::Fibrobacteria
5,BAC_C::Fimbriimonadia
5,BAC_C::Fusobacteriia
5,BAC_C::Gammaproteobacteria
5,BAC_C::Gemmatimonadetes
5,BAC_C::Gracilibacteria
5,BAC_C::Holophagae
5,BAC_C::Hydrogenedentia
