domain,rank,workbook_sample,SampleID,workbook_suffix,original_suffix,Site
BAC,Class,1-1-BSSG,1-1,BSSG,BSSG,BSS
BAC,Class,1-10-DGDC,1-10,DGDC,DGDC,DGC
BAC,Class,1-11-DGYSa,1-11,DGYSa,DGYSa,DGY
BAC,Class,1-11b-DGYSb,1-11b,DGYSb,DGYSb,DGYb
BAC,Class,1-12-USOS,1-12,USOS,USOS,USO
BAC,Class,1-13-USYY,1-13,USYY,USYY,USY
BAC,Class,1-14-USYJ,1-14,USYJ,USYJ,USJ
BAC,Class,1-15-GSGA,1-15,GSGA,GSGA,GSG
BAC,Class,1-16-GCGD,1-16,GCGD,GCGD,GCG
BAC,Class,1-17-MGYS,1-17,MGYS,MGYS,MGY
BAC,Class,1-18-ADAS,1-18,ADAS,ADAS,ADA
BAC,Class,1-19-ADPC,1-19,ADPC,ADPC,ADP
BAC,Class,1-2-BSNS,1-2,BSNS,BSNS,BSN
BAC,Class,1-20-YCGH,1-20,YCGH,YCGH,YCG
BAC,Class,1-21-YCDG,1-21,YCDG,YCDG,YCD
BAC,Class,1-22-UJGN,1-22,UJGN,UJGN,UJG
BAC,Class,1-23-CGSJ,1-23,CGSJ,CGSJ,CGS
BAC,Class,1-24-GHGHa,1-24,GHGHa,GHGHa,GHGa
BAC,Class,1-25-GHGHb,1-25,GHGHb,GHGHb,GHGb
BAC,Class,1-26-GHHM,1-26,GHHM,GHHM,GHH
BAC,Class,1-27-GHJY,1-27,GHJY,GHJY,GHJ
BAC,Class,1-28-MYSN,1-28,MYSN,MYSN,MYS
BAC,Class,1-29-SCHG,1-29,SCHG,SCHG,SCH
BAC,Class,1-3-BSIGa,1-3,BSIGa,BSIGa,BSI
BAC,Class,1-30-YSDM,1-30,YSDM,YSDM,YSD
BAC,Class,1-31-YSYS,1-31,YSYS,YSYS,YSY
BAC,Class,1-32-JJNG,1-32,JJNG,JJNG,JJN
BAC,Class,1-32'-JJYS,1-32',JJYS,JJYS,JJY
BAC,Class,1-33-CWMS,1-33,CWMS,CWMS,CWM
BAC,Class,1-34-CWSS,1-34,CWSS,CWSS,CWS
BAC,Class,1-3b-BSIGb,1-3b,BSIGb,BSIGb,BSIb
BAC,Class,1-4-BSOC,1-4,BSOC,BSOC,BSO
BAC,Class,1-5-BSES,1-5,BSES,BSES,BSE
BAC,Class,1-6-DGGW,1-6,DGGW,DGGW,DGG
BAC,Class,1-7-DGDS,1-7,DGDS,DGDS,DGD
BAC,Class,1-8-DGJY,1-8,DGJY,DGJY,DGJ
BAC,Class,1-9-DGGB,1-9,DGGB,DGGB,DGB
BAC,Class,2-1-BSSG,2-1,BSSG,BSSG,BSS
BAC,Class,2-10-DGDC,2-10,DGDC,DGDC,DGC
BAC,Class,2-11-DGYSa,2-11,DGYSa,DGYSa,DGY
BAC,Class,2-12-USOS,2-12,USOS,USOS,USO
BAC,Class,2-13-USYY,2-13,USYY,USYY,USY
BAC,Class,2-14-USYJ,2-14,USYJ,USYJ,USJ
BAC,Class,2-15-GSGA,2-15,GSGA,GSGA,GSG
BAC,Class,2-16-GCGD,2-16,GCGD,GCGD,GCG
BAC,Class,2-17-MGYS,2-17,MGYS,MGYS,MGY
BAC,Class,2-18-ADAS,2-18,ADAS,ADAS,ADA
BAC,Class,2-19-ADPC,2-19,ADPC,ADPC,ADP
BAC,Class,2-2-BSNS,2-2,BSNS,BSNS,BSN
BAC,Class,2-20-YCGH,2-20,YCGH,YCGH,YCG
BAC,Class,2-21-YCDG,2-21,YCDG,YCDG,YCD
BAC,Class,2-22-UJGN,2-22,UJGN,UJGN,UJG
BAC,Class,2-23-CGSJ,2-23,CGSJ,CGSJ,CGS
BAC,Class,2-24-GHGHa,2-24,GHGHa,GHGHa,GHGa
BAC,Class,2-25-GHGHb,2-25,GHGHb,GHGHb,GHGb
BAC,Class,2-26-GHHM,2-26,GHHM,GHHM,GHH
BAC,Class,2-27-GHJY,2-27,GHJY,GHJY,GHJ
BAC,Class,2-28-MYSN,2-28,MYSN,MYSN,MYS
BAC,Class,2-29-SCHG,2-29,SCHG,SCHG,SCH
BAC,Class,2-3-BSIGa,2-3,BSIGa,BSIGa,BSI
BAC,Class,2-30-YSDM,2-30,YSDM,YSDM,YSD
BAC,Class,2-31-YSYS,2-31,YSYS,YSYS,YSY
BAC,Class,2-32-JJNG,2-32,JJNG,JJNG,JJN
BAC,Class,2-32'-JJYS,2-32',JJYS,JJYS,JJY
BAC,Class,2-33-CWMS,2-33,CWMS,CWMS,CWM
BAC,Class,2-34-CWSS,2-34,CWSS,CWSS,CWS
BAC,Class,2-4-BSOC,2-4,BSOC,BSOC,BSO
BAC,Class,2-5-BSES,2-5,BSES,BSES,BSE
BAC,Class,2-6-DGGW,2-6,DGGW,DGGW,DGG
BAC,Class,2-7-DGDS,2-7,DGDS,DGDS,DGD
BAC,Class,2-8-DGJY,2-8,DGJY,DGJY,DGJ
BAC,Class,2-9-DGGB,2-9,DGGB,DGGB,DGB
BAC,Class,3-1-BSSG,3-1,BSSG,BSSG,BSS
BAC,Class,3-10-DGDC,3-10,DGDC,DGDC,DGC
BAC,Class,3-11-DGYSa,3-11,DGYSa,DGYSa,DGY
BAC,Class,3-12-USOS,3-12,USOS,USOS,USO
BAC,Class,3-13-USYY,3-13,USYY,USYY,USY
BAC,Class,3-14-USYJ,3-14,USYJ,USYJ,USJ
BAC,Class,3-15-GSGA,3-15,GSGA,GSGA,GSG
BAC,Class,3-16-GCGD,3-16,GCGD,GCGD,GCG
BAC,Class,3-17-MGYS,3-17,MGYS,MGYS,MGY
BAC,Class,3-18-ADAS,3-18,ADAS,ADAS,ADA
BAC,Class,3-19-ADPC,3-19,ADPC,ADPC,ADP
BAC,Class,3-2-BSNS,3-2,BSNS,BSNS,BSN
BAC,Class,3-20-YCGH,3-20,YCGH,YCGH,YCG
BAC,Class,3-21-YCDG,3-21,YCDG,YCDG,YCD
BAC,Class,3-22-UJGN,3-22,UJGN,UJGN,UJG
BAC,Class,3-23-CGSJ,3-23,CGSJ,CGSJ,CGS
BAC,Class,3-24-GHGHa,3-24,GHGHa,GHGHa,GHGa
BAC,Class,3-25-GHGHb,3-25,GHGHb,GHGHb,GHGb
BAC,Class,3-26-GHHM,3-26,GHHM,GHHM,GHH
BAC,Class,3-27-GHJY,3-27,GHJY,GHJY,GHJ
BAC,Class,3-28-MYSN,3-28,MYSN,MYSN,MYS
BAC,Class,3-29-SCHG,3-29,SCHG,SCHG,SCH
BAC,Class,3-3-BSIGa,3-3,BSIGa,BSIGa,BSI
BAC,Class,3-30-YSDM,3-30,YSDM,YSDM,YSD
BAC,Class,3-31-YSYS,3-31,YSYS,YSYS,YSY
BAC,Class,3-32-JJNG,3-32,JJNG,JJNG,JJN
BAC,Class,3-32'-JJYS,3-32',JJYS,JJYS,JJY
BAC,Class,3-33-CWMS,3-33,CWMS,CWMS,CWM
BAC,Class,3-34-CWSS,3-34,CWSS,CWSS,CWS
BAC,Class,3-4-BSOC,3-4,BSOC,BSOC,BSO
BAC,Class,3-5-BSES,3-5,BSES,BSES,BSE
BAC,Class,3-6-DGGW,3-6,DGGW,DGGW,DGG
BAC,Class,3-7-DGDS,3-7,DGDS,DGDS,DGD
BAC,Class,3-8-DGJY,3-8,DGJY,DGJY,DGJ
BAC,Class,3-9-DGGB,3-9,DGGB,DGGB,DGB
BAC,Class,4-1-BSSG,4-1,BSSG,BSSG,BSS
BAC,Class,4-10-DGDC,4-10,DGDC,DGDC,DGC
BAC,Class,4-11-DGYSa,4-11,DGYSa,DGYSa,DGY
BAC,Class,4-12-USOS,4-12,USOS,USOS,USO
BAC,Class,4-13-USYY,4-13,USYY,USYY,USY
BAC,Class,4-14-USYJ,4-14,USYJ,USYJ,USJ
BAC,Class,4-15-GSGA,4-15,GSGA,GSGA,GSG
BAC,Class,4-16-GCGD,4-16,GCGD,GCGD,GCG
BAC,Class,4-17-MGYS,4-17,MGYS,MGYS,MGY
BAC,Class,4-18-ADAS,4-18,ADAS,ADAS,ADA
BAC,Class,4-2-BSNS,4-2,BSNS,BSNS,BSN
BAC,Class,4-21-YCDG,4-21,YCDG,YCDG,YCD
BAC,Class,4-22-UJGN,4-22,UJGN,UJGN,UJG
BAC,Class,4-23-CGSJ,4-23,CGSJ,CGSJ,CGS
BAC,Class,4-24-GHGHa,4-24,GHGHa,GHGHa,GHGa
BAC,Class,4-25-GHGHb,4-25,GHGHb,GHGHb,GHGb
BAC,Class,4-26-GHHM,4-26,GHHM,GHHM,GHH
BAC,Class,4-27-GHJY,4-27,GHJY,GHJY,GHJ
BAC,Class,4-28-MYSN,4-28,MYSN,MYSN,MYS
BAC,Class,4-29-SCHG,4-29,SCHG,SCHG,SCH
BAC,Class,4-3-BSIGa,4-3,BSIGa,BSIGa,BSI
BAC,Class,4-30-YSDM,4-30,YSDM,YSDM,YSD
BAC,Class,4-31-YSYS,4-31,YSYS,YSYS,YSY
BAC,Class,4-32-JJNG,4-32,JJNG,JJNG,JJN
BAC,Class,4-32'-JJYS,4-32',JJYS,JJYS,JJY
BAC,Class,4-33-CWMS,4-33,CWMS,CWMS,CWM
BAC,Class,4-34-CWSS,4-34,CWSS,CWSS,CWS
BAC,Class,4-4-BSOC,4-4,BSOC,BSOC,BSO
BAC,Class,4-5-BSES,4-5,BSES,BSES,BSE
BAC,Class,4-6-DGGW,4-6,DGGW,DGGW,DGG
BAC,Class,4-7-DGDS,4-7,DGDS,DGDS,DGD
BAC,Class,4-8-DGJY,4-8,DGJY,DGJY,DGJ
BAC,Class,4-9-DGGB,4-9,DGGB,DGGB,DGB
ARC,Class,1-1-BSSG,1-1,BSSG,BSSG,BSS
ARC,Class,1-10-DGDC,1-10,DGDC,DGDC,DGC
ARC,Class,1-11-DGYSa,1-11,DGYSa,DGYSa,DGY
ARC,Class,1-11b-DGYSb,1-11b,DGYSb,DGYSb,DGYb
ARC,Class,1-12-USOS,1-12,USOS,USOS,USO
ARC,Class,1-13-USYY,1-13,USYY,USYY,USY
ARC,Class,1-14-USYJ,1-14,USYJ,USYJ,USJ
ARC,Class,1-15-GSGA,1-15,GSGA,GSGA,GSG
ARC,Class,1-16-GCGD,1-16,GCGD,GCGD,GCG
ARC,Class,1-17-MGYS,1-17,MGYS,MGYS,MGY
ARC,Class,1-18-ADAS,1-18,ADAS,ADAS,ADA
ARC,Class,1-19-ADPC,1-19,ADPC,ADPC,ADP
ARC,Class,1-2-BSNS,1-2,BSNS,BSNS,BSN
ARC,Class,1-20-YCGH,1-20,YCGH,YCGH,YCG
ARC,Class,1-21-YCDG,1-21,YCDG,YCDG,YCD
ARC,Class,1-22-UJGN,1-22,UJGN,UJGN,UJG
ARC,Class,1-23-CGSJ,1-23,CGSJ,CGSJ,CGS
ARC,Class,1-24-GHGHa,1-24,GHGHa,GHGHa,GHGa
ARC,Class,1-25-GHGHb,1-25,GHGHb,GHGHb,GHGb
ARC,Class,1-26-GHHM,1-26,GHHM,GHHM,GHH
ARC,Class,1-27-GHJY,1-27,GHJY,GHJY,GHJ
ARC,Class,1-28-MYSN,1-28,MYSN,MYSN,MYS
ARC,Class,1-29-SCHG,1-29,SCHG,SCHG,SCH
ARC,Class,1-3-BSIGa,1-3,BSIGa,BSIGa,BSI
ARC,Class,1-30-YSDM,1-30,YSDM,YSDM,YSD
ARC,Class,1-31-YSYS,1-31,YSYS,YSYS,YSY
ARC,Class,1-32-JJNG,1-32,JJNG,JJNG,JJN
ARC,Class,1-33-CWMS,1-33,CWMS,CWMS,CWM
ARC,Class,1-34-CWSS,1-34,CWSS,CWSS,CWS
ARC,Class,1-3b-BSIGb,1-3b,BSIGb,BSIGb,BSIb
ARC,Class,1-4-BSOC,1-4,BSOC,BSOC,BSO
ARC,Class,1-5-BSES,1-5,BSES,BSES,BSE
ARC,Class,1-6-DGGW,1-6,DGGW,DGGW,DGG
ARC,Class,1-7-DGDS,1-7,DGDS,DGDS,DGD
ARC,Class,1-8-DGJY,1-8,DGJY,DGJY,DGJ
ARC,Class,1-9-DGGB,1-9,DGGB,DGGB,DGB
ARC,Class,2-1-BSSG,2-1,BSSG,BSSG,BSS
ARC,Class,2-10-DGDC,2-10,DGDC,DGDC,DGC
ARC,Class,2-11-DGYSa,2-11,DGYSa,DGYSa,DGY
ARC,Class,2-12-USOS,2-12,USOS,USOS,USO
