Model,domain,feature,importance,taxonomic_level
RandomForest,Bacteria,BAC_C::Cloacimonadia,0.0456140227019822,Class
RandomForest,Bacteria,BAC_C::Spirochaetia,0.0448047434816495,Class
RandomForest,Bacteria,BAC_C::Bacteroidia,0.0389399871574965,Class
RandomForest,Bacteria,BAC_C::Thermotogae,0.038034995808504,Class
RandomForest,Bacteria,BAC_C::Alphaproteobacteria,0.0375997191900337,Class
RandomForest,Bacteria,BAC_C::Bacilli,0.037069435811546,Class
RandomForest,Bacteria,BAC_C::Clostridia,0.0356694938659918,Class
RandomForest,Bacteria,BAC_C::Limnochordia,0.0331642769875935,Class
RandomForest,Bacteria,BAC_C::unidentified,0.0328623312774591,Class
RandomForest,Bacteria,BAC_C::Gammaproteobacteria,0.0325284421619041,Class
RandomForest,Archaea,ARC_C::Methanomicrobia,0.0319642587426969,Class
RandomForest,Bacteria,BAC_C::Synergistia,0.0305128403128788,Class
RandomForest,Archaea,ARC_C::Thermococci,0.0296137406828139,Class
RandomForest,Bacteria,BAC_C::Anaerolineae,0.0292489372844062,Class
RandomForest,Archaea,ARC_C::Methanosarcinia,0.0288530725087962,Class
RandomForest,Bacteria,BAC_C::Incertae_Sedis,0.0279473490218631,Class
RandomForest,Bacteria,BAC_C::Negativicutes,0.0251939274539078,Class
RandomForest,Archaea,ARC_C::Thermoplasmata,0.023883300482463,Class
RandomForest,Bacteria,BAC_C::Syntrophia,0.0237912147972254,Class
RandomForest,Bacteria,BAC_C::Verrucomicrobiae,0.021559196365225,Class
RandomForest,Bacteria,BAC_C::D8A-2,0.0201439058358896,Class
RandomForest,Bacteria,BAC_C::Caldatribacteriia,0.0199096816922088,Class
RandomForest,Bacteria,BAC_C::Planctomycetes,0.0197081834964225,Class
RandomForest,Bacteria,BAC_C::Coriobacteriia,0.0176584438897698,Class
RandomForest,Bacteria,BAC_C::Syntrophomonadia,0.017078896583606,Class
RandomForest,Bacteria,BAC_C::Kiritimatiellae,0.0170195848836939,Class
RandomForest,Archaea,ARC_C::unidentified,0.0167147001728912,Class
RandomForest,Bacteria,BAC_C::Caldisericia,0.0148830654769505,Class
RandomForest,Bacteria,BAC_C::Dethiobacteria,0.0148512937261938,Class
RandomForest,Bacteria,BAC_C::Syntrophorhabdia,0.0138910604704517,Class
RandomForest,Bacteria,BAC_C::JS1,0.0133317268862086,Class
RandomForest,Bacteria,BAC_C::Actinobacteria,0.0121000080219476,Class
RandomForest,Bacteria,BAC_C::Thermacetogenia,0.0106982029431916,Class
RandomForest,Bacteria,BAC_C::SJA-28,0.0101061989639349,Class
RandomForest,Bacteria,BAC_C::Desulfotomaculia,0.0095833624019088,Class
RandomForest,Bacteria,BAC_C::Hydrogenedentia,0.0094960887415376,Class
RandomForest,Bacteria,BAC_C::Leptospirae,0.0093491652880874,Class
RandomForest,Archaea,ARC_C::Nanoarchaeia,0.0080286301842258,Class
RandomForest,Bacteria,BAC_C::Acidimicrobiia,0.0074879535587744,Class
RandomForest,Bacteria,BAC_C::Marinimicrobia_(SAR406_clade),0.0062362973518239,Class
RandomForest,Bacteria,BAC_C::Gracilibacteria,0.0054204121715129,Class
RandomForest,Bacteria,BAC_C::Aminicenantia,0.005144394467161,Class
RandomForest,Bacteria,BAC_C::Desulfovibrionia,0.0046203439101387,Class
RandomForest,Bacteria,BAC_C::Thermoanaerobacteria,0.0044540442583636,Class
RandomForest,Bacteria,BAC_C::WS1,0.0041801931380815,Class
RandomForest,Bacteria,BAC_C::Thermovenabulia,0.0041374953518091,Class
RandomForest,Archaea,ARC_C::Methanomethylicia,0.0041193661888754,Class
RandomForest,Archaea,ARC_C::Bathyarchaeia,0.0040581813272438,Class
RandomForest,Bacteria,BAC_C::Thermoleophilia,0.0040303922681406,Class
RandomForest,Bacteria,BAC_C::Chthonomonadetes,0.0038112189231569,Class
RandomForest,Bacteria,BAC_C::MVP-15,0.0034913458155336,Class
RandomForest,Bacteria,BAC_C::Kapabacteria,0.0028692367132284,Class
RandomForest,Bacteria,BAC_C::Fusobacteriia,0.0027142333660894,Class
RandomForest,Bacteria,BAC_C::Blastocatellia,0.0026588785074629,Class
