feature,taxon,domain,taxonomic_level,samples_above_0_1_percent,training_samples_above_0_1_percent,included_in_final_matrix
BAC_C::Thermoanaerobacteria,Thermoanaerobacteria,Bacteria,Class,14,13,True
BAC_C::Thermoanaerobaculia,Thermoanaerobaculia,Bacteria,Class,35,26,True
BAC_C::Thermoleophilia,Thermoleophilia,Bacteria,Class,58,44,True
BAC_C::Thermotogae,Thermotogae,Bacteria,Class,105,85,True
BAC_C::Thermovenabulia,Thermovenabulia,Bacteria,Class,23,23,True
BAC_C::Vampirivibrionia,Vampirivibrionia,Bacteria,Class,2,2,True
BAC_C::Verrucomicrobiae,Verrucomicrobiae,Bacteria,Class,96,70,True
BAC_C::Vicinamibacteria,Vicinamibacteria,Bacteria,Class,2,2,True
BAC_C::WCHB1-81,WCHB1-81,Bacteria,Class,39,27,True
BAC_C::WPS-2,WPS-2,Bacteria,Class,4,3,True
BAC_C::WS1,WS1,Bacteria,Class,47,37,True
BAC_C::WWE3,WWE3,Bacteria,Class,3,2,True
BAC_C::Zixibacteria,Zixibacteria,Bacteria,Class,5,3,True
BAC_C::c5LKS83,c5LKS83,Bacteria,Class,11,3,True
BAC_C::unidentified,unidentified,Bacteria,Class,117,92,True
