level,domain,model,flag,n_pos,prevalence,n_repeats_scored,auprc,auprc_lo,auprc_hi,auprc_lift,auprc_lift_lo,auprc_lift_hi,auroc,auroc_lo,auroc_hi,mcc,mcc_lo,mcc_hi,f2,f2_lo,f2_hi,precision,precision_lo,precision_hi,recall,recall_lo,recall_hi,threshold,threshold_lo,threshold_hi
Class,BAC,NNET,acid_accumulation,4.0,0.02857142857142857,5.0,0.023995927626327313,0.02307880204562092,0.026071411126133905,0.8398574669214561,0.8077580715967322,0.9124993894146867,0.2797794117647059,0.25128676470588235,0.33970588235294114,-0.06954950875838492,-0.23518772116244824,0.04162700303755405,0.09414128385210287,0.03923154701718908,0.13495495495495496,0.021325455994927505,0.008974702780012514,0.030257801899592946,0.65,0.25,1.0,0.11080119348741149,0.0333007022614607,0.16986417573442766
Class,BAC,NNET,acid_base_balance,21.0,0.15,5.0,0.20078170928484113,0.15555060867610376,0.26135542337406864,1.3385447285656078,1.0370040578406918,1.7423694891604578,0.5516606642657063,0.47218887555022004,0.6205282112845137,0.026502652360100222,-0.07876188787101993,0.15080392259973788,0.34271756949384075,0.03875968992248063,0.4581630045988758,0.14370054032541976,0.014285714285714285,0.22058823529411764,0.5714285714285714,0.047619047619047616,0.8571428571428571,0.43338503310057364,0.06699036786759564,0.8218262865697067
Class,BAC,NNET,ammonia_toxicity,26.0,0.18571428571428572,5.0,0.23218845145652703,0.1792877717612583,0.299104659185023,1.250245507842838,0.9653956940990831,1.6105635494578159,0.6095141700404858,0.5100202429149797,0.6857962213225371,0.19560355698331294,0.1685120633946425,0.2525671944557456,0.5506295249621784,0.5007392075694855,0.5992242662952111,0.24655810507653833,0.22123205741626795,0.2636067101584343,0.8076923076923077,0.6615384615384615,0.9538461538461539,0.4051533559906882,0.24048010059300262,0.5315082275113044
Class,BAC,NNET,biogas_quality,7.0,0.05,5.0,0.07596899896212131,0.05253600785498256,0.12887904268199632,1.519379979242426,1.0507201570996512,2.5775808536399265,0.558109559613319,0.3980665950590763,0.7373791621911923,0.035798194161815365,-0.09257294507308846,0.21620707002795975,0.18691465188744966,0.01282051282051282,0.3610950341474708,0.061084656084656075,0.004,0.14935714285714285,0.5428571428571429,0.02857142857142857,0.9857142857142857,0.4722665941442711,0.053047990965004496,0.8251315642657099
Class,BAC,NNET,buffer_capacity,9.0,0.06428571428571428,5.0,0.11683957894492547,0.0869828857316324,0.1677081338486809,1.8175045613655072,1.3530671113809487,2.608793193201703,0.47718405428329086,0.3674300254452927,0.5196776929601357,0.0028584126550392653,-0.12356527436355953,0.1947055413423435,0.17088466314339515,0.1333464257659073,0.24768873403019742,0.14355890669094432,0.04289557348985082,0.45647482014388485,0.4444444444444445,0.12222222222222222,0.9444444444444444,0.3541464897197097,0.02063895880460463,0.8759043591834776
Class,BAC,NNET,MACRO,,,5.0,0.12995493325494847,0.11640877361241242,0.14447451408681125,1.353106448787567,1.1646210003635828,1.4997546610847994,0.4952495719935016,0.4689964773085632,0.523100066419105,0.038242661480376576,0.020092334486085918,0.05481861244053446,0.26905753866779336,0.20639112063477116,0.31588151382752244,0.1232455328344972,0.08101176331551206,0.18369290490003753,0.6032844932844933,0.3891758241758242,0.7558302808302809,,,
