level,domain,model,flag,n_pos,prevalence,n_repeats_scored,auprc,auprc_lo,auprc_hi,auprc_lift,auprc_lift_lo,auprc_lift_hi,auroc,auroc_lo,auroc_hi,mcc,mcc_lo,mcc_hi,f2,f2_lo,f2_hi,precision,precision_lo,precision_hi,recall,recall_lo,recall_hi,threshold,threshold_lo,threshold_hi
Class,BAC,RF,acid_accumulation,4.0,0.02857142857142857,5.0,0.1992646672301359,0.0649358837345383,0.357895742028869,6.974263353054757,2.272755930708841,12.526350971010414,0.783639705882353,0.6921875000000001,0.854595588235294,0.15897924178440753,0.08050623989288815,0.25445172311404923,0.25680583724813794,0.15813788201847903,0.36527777777777776,0.08316427640156454,0.03820078226857888,0.1225,0.65,0.5,0.975,0.06983025746556623,0.01372635135938291,0.09753997895959769
Class,BAC,RF,acid_base_balance,21.0,0.15,5.0,0.3540784924559273,0.3310949930931478,0.3736339673281376,2.360523283039515,2.2072999539543185,2.4908931155209175,0.7869547819127651,0.7496598639455783,0.812484993997599,0.2971125974998071,0.22583288532704138,0.38067630014796766,0.5288899956788095,0.4273315883730541,0.5976923076923076,0.30229501299878103,0.25357142857142856,0.3608472400513479,0.6666666666666667,0.4857142857142857,0.8428571428571427,0.28523275238781987,0.16392762805405128,0.4036626186986162
Class,BAC,RF,ammonia_toxicity,26.0,0.18571428571428572,5.0,0.6574544598702274,0.6055873241178302,0.7139041122037539,3.540139399301224,3.2608548221729317,3.844099065712521,0.9323211875843456,0.9169028340080971,0.9464237516869096,0.6905172305916413,0.6637962914656542,0.7131696779137368,0.8470607365919127,0.8220443349753694,0.8674568965517242,0.6108497870692993,0.5863530778164924,0.6375,0.9384615384615385,0.8884615384615384,0.9615384615384616,0.4377465205752791,0.3931271002021555,0.47186704739595076
Class,BAC,RF,biogas_quality,7.0,0.05,5.0,0.18649402956747224,0.12659569050221614,0.26646162156286035,3.7298805913494446,2.5319138100443226,5.329232431257206,0.6917293233082707,0.5894736842105264,0.7728249194414608,0.13415810176163076,0.061265601666050926,0.2138542109406164,0.25315656565656564,0.1625,0.3556818181818182,0.11897132241959829,0.05376175548589342,0.23981481481481481,0.6857142857142857,0.18571428571428572,1.0,0.08355927935410867,0.020149997732406597,0.17476741687969766
Class,BAC,RF,buffer_capacity,9.0,0.06428571428571428,5.0,0.17357473544475271,0.13327886491310162,0.2230751664983718,2.700051440251709,2.0732267875371364,3.470058145530228,0.5996607294317219,0.5251908396946564,0.6483460559796438,0.14698681456411955,0.03235987984884888,0.30493791271600335,0.3043015325252358,0.23040752351097177,0.40068027210884355,0.14901417423156554,0.06638795986622073,0.29692307692307696,0.6222222222222222,0.34444444444444444,0.9888888888888889,0.1042447746112483,0.0253576495492206,0.17330776054851502
Class,BAC,RF,MACRO,,,5.0,0.31417327691370306,0.27170365059460855,0.3565293881158926,3.86097161339933,3.0801792553594773,5.090456060504886,0.7588611456238912,0.7306769472360751,0.7876080647694171,0.28555079724032123,0.24912030849718203,0.33610349390949906,0.4380429335401323,0.41187550051137883,0.48096748338833967,0.2528589146241617,0.2254911404857444,0.2954972204266321,0.7126129426129427,0.5653724053724054,0.846037851037851,,,
