level,domain,model,flag,n_pos,prevalence,n_repeats_scored,auprc,auprc_lo,auprc_hi,auprc_lift,auprc_lift_lo,auprc_lift_hi,auroc,auroc_lo,auroc_hi,mcc,mcc_lo,mcc_hi,f2,f2_lo,f2_hi,precision,precision_lo,precision_hi,recall,recall_lo,recall_hi,threshold,threshold_lo,threshold_hi
Class,BAC,SVM,acid_accumulation,4.0,0.02857142857142857,5.0,0.028785295011899935,0.020123462274390654,0.040417301413654814,1.0074853254164977,0.7043211796036729,1.4146055494779186,0.26875,0.13823529411764704,0.3720588235294118,-0.09108705112479677,-0.17536383762921873,-0.0045460633718747805,0.06253196930946292,0.006666666666666667,0.09735294117647059,0.014974360687766794,0.0016666666666666668,0.02203604618417347,0.35,0.025,0.725,0.0451937035539129,0.017422018005656653,0.10997584336393543
Class,BAC,SVM,acid_base_balance,21.0,0.15,5.0,0.26859869445488405,0.22023541397712276,0.32202591043882267,1.7906579630325599,1.4682360931808185,2.1468394029254845,0.6650660264105642,0.6402561024409763,0.6950780312124849,0.13712105378142225,0.07749833937961383,0.18456228447170545,0.3173218204427253,0.15858877964141121,0.44327941299091134,0.2692260020681073,0.17357894736842105,0.41298701298701296,0.4095238095238095,0.14285714285714285,0.738095238095238,0.24041083844129352,0.08523938575205561,0.4403962400421495
Class,BAC,SVM,ammonia_toxicity,26.0,0.18571428571428572,5.0,0.6089499472856874,0.49693271953375934,0.6915867541749546,3.2789612546152407,2.6757915667202425,3.723928676326679,0.8819163292847503,0.8134615384615385,0.9215924426450742,0.5906802434273868,0.5106515090049499,0.6541830575934424,0.7477133959254711,0.6778115501519757,0.8094101521882976,0.5665331120594279,0.5154954954954954,0.6230263157894737,0.8153846153846154,0.7346153846153846,0.9192307692307693,0.20656636708598933,0.06808656797608739,0.30572877290262473
Class,BAC,SVM,biogas_quality,7.0,0.05,5.0,0.051048540386328445,0.042442486729046255,0.058600116529863557,1.0209708077265691,0.848849734580925,1.172002330597271,0.37593984962406013,0.2906552094522019,0.44672395273899035,-0.024927811610339003,-0.1376126779973714,0.06393223614379115,0.17635686916104087,0.06778096800656276,0.2222196764881089,0.043784894906387324,0.018642652671755727,0.054242614707730986,0.7428571428571429,0.21428571428571427,0.9857142857142857,0.03211796881514513,0.02463813589764479,0.046795105965218735
Class,BAC,SVM,buffer_capacity,9.0,0.06428571428571428,5.0,0.1030257117773542,0.05706073105275165,0.13193858678169335,1.6026221832032874,0.8876113719316924,2.052378016604119,0.5083969465648855,0.37039864291772684,0.6126378286683629,0.03580911918409801,-0.04820738287151011,0.1573391395370491,0.1970562200157809,0.11160714285714286,0.2638329604772558,0.09799184088720253,0.053465982028241335,0.20833333333333331,0.4444444444444445,0.12222222222222222,0.8555555555555555,0.0649668334543659,0.04052743928381123,0.09478350525223428
Class,BAC,SVM,MACRO,,,5.0,0.2120816377832308,0.1714425873144922,0.23711691651398661,1.740139506798831,1.414143176645187,1.9428728336601242,0.540013830376852,0.5006369178050014,0.5735026560407311,0.12951911073155425,0.09463096933966174,0.14360924721733906,0.30019605497089624,0.2715751745139811,0.3545176950820893,0.19850204212177835,0.1804495555083764,0.2223258591362074,0.5524420024420025,0.3386507936507936,0.7154090354090353,,,
