level,domain,model,flag,n_pos,prevalence,n_repeats_scored,auprc,auprc_lo,auprc_hi,auprc_lift,auprc_lift_lo,auprc_lift_hi,auroc,auroc_lo,auroc_hi,mcc,mcc_lo,mcc_hi,f2,f2_lo,f2_hi,precision,precision_lo,precision_hi,recall,recall_lo,recall_hi,threshold,threshold_lo,threshold_hi
Family,ARC,RF,acid_accumulation,4.0,0.028985507246376812,5.0,0.13251612774751534,0.07991660320665327,0.18115914786967416,4.571806407289278,2.7571228106295376,6.249990601503758,0.8076492537313433,0.7273320895522388,0.8880597014925373,0.18508231323449392,0.016730782584482864,0.28725679724975756,0.29262188865847405,0.1439101439101439,0.3827392120075047,0.08981694271911664,0.03546195652173913,0.11911111111111111,0.8,0.525,1.0,0.05109554235872084,0.004483398389600775,0.09632375730955944
Family,ARC,RF,acid_base_balance,20.0,0.14492753623188406,5.0,0.28739066758201653,0.24850118339282504,0.3416878116872366,1.9829956063159142,1.7146581654104927,2.3576459006419324,0.674322033898305,0.6211440677966102,0.7107627118644066,0.12192449022814555,0.05942626687106938,0.16766140162207985,0.36919804487126323,0.2877346786866264,0.45351008215085886,0.2135971368529508,0.15664451827242523,0.24316134316134316,0.51,0.31,0.8999999999999999,0.30958805005406365,0.09721641428064681,0.41629567914595306
Family,ARC,RF,ammonia_toxicity,26.0,0.18840579710144928,5.0,0.5188745206013337,0.4763500362255993,0.5534391838929754,2.7540263016532323,2.5283194230435653,2.9374848991242537,0.8759615384615385,0.8602678571428573,0.8859203296703295,0.5684837630807091,0.537281734508822,0.5979964323715818,0.7576050409232205,0.7213075177441939,0.8084415584415584,0.5185898078529657,0.48088888888888887,0.5695488721804511,0.8615384615384615,0.7730769230769231,0.9576923076923077,0.3402698317251314,0.26058607313521814,0.41907615573714746
Family,ARC,RF,biogas_quality,7.0,0.050724637681159424,5.0,0.07942920772598402,0.06804001288169448,0.10409449330961307,1.5658900951693995,1.3413602539534053,2.0521485823895143,0.6211559432933479,0.5270447110141766,0.7383860414394765,0.036095803871242484,-0.05731057456314114,0.17203860073450994,0.18858198966894618,0.08392857142857142,0.31620553359683795,0.059266821807785065,0.02956043956043956,0.09226973684210527,0.42857142857142855,0.15714285714285714,0.8142857142857142,0.09654803261152678,0.08235629138289603,0.111334624909926
Family,ARC,RF,buffer_capacity,9.0,0.06521739130434782,5.0,0.0637230892174003,0.051463321635374426,0.0772984377163004,0.977087368000138,0.7891042650757412,1.1852427116499396,0.40223944875107664,0.30947459086993967,0.5032730404823428,-0.07879058015780495,-0.2208266572764713,0.05315309774306044,0.12820763573775623,0.0,0.2621557659208262,0.03503328072462773,0.0,0.07643724696356274,0.4,0.0,0.7666666666666667,0.14576944741363554,0.03178282949241049,0.2981947074451588
Family,ARC,RF,MACRO,,,5.0,0.21638672257484998,0.19312062520121104,0.22853782218195384,2.3703611556855924,1.9472898908984961,2.7165557581049677,0.6762656436271222,0.6600175106979482,0.7067768154368101,0.16655915805135724,0.14161159779089844,0.2051775807346495,0.347242919971932,0.33347545851019555,0.362980493425729,0.18326079799148923,0.16678567141591383,0.20174488090145984,0.600021978021978,0.4811709401709401,0.6685067155067154,,,
