Model,warning_acid_base_balance,warning_buffer_capacity,warning_acid_accumulation,warning_ammonia_toxicity,warning_biogas_quality
RandomForest,0.33,0.33,0.33,0.33,0.33
KNN,0.33,0.33,0.33,0.33,0.33
SVM,0.31,0.31,0.31,0.31,0.31
NNET,0.27,0.27,0.27,0.27,0.27
XGBoost,0.59,0.59,0.59,0.59,0.59
GLMNET,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003
