domain,rank,workbook_sample,SampleID,workbook_suffix,Site
BAC,O,1-28-MYSN,1-28,MYSN,MYS
BAC,O,1-29-SCHG,1-29,SCHG,SCH
BAC,O,1-3-BSIGa,1-3,BSIGa,BSI
BAC,O,1-30-YSDM,1-30,YSDM,YSD
BAC,O,1-31-YSYS,1-31,YSYS,YSY
BAC,O,1-32-JJNG,1-32,JJNG,JJN
BAC,O,1-32'-JJYS,1-32',JJYS,JJY
BAC,O,1-33-CWMS,1-33,CWMS,CWM
BAC,O,1-34-CWSS,1-34,CWSS,CWS
BAC,O,1-3b-BSIGb,1-3b,BSIGb,BSIb
BAC,O,1-4-BSOC,1-4,BSOC,BSO
BAC,O,1-5-BSES,1-5,BSES,BSE
BAC,O,1-6-DGGW,1-6,DGGW,DGG
BAC,O,1-7-DGDS,1-7,DGDS,DGD
BAC,O,1-8-DGJY,1-8,DGJY,DGJ
BAC,O,1-9-DGGB,1-9,DGGB,DGB
BAC,O,2-1-BSSG,2-1,BSSG,BSS
BAC,O,2-10-DGDC,2-10,DGDC,DGC
BAC,O,2-11-DGYSa,2-11,DGYSa,DGY
BAC,O,2-12-USOS,2-12,USOS,USO
BAC,O,2-13-USYY,2-13,USYY,USY
BAC,O,2-14-USYJ,2-14,USYJ,USJ
BAC,O,2-15-GSGA,2-15,GSGA,GSG
BAC,O,2-16-GCGD,2-16,GCGD,GCG
BAC,O,2-17-MGYS,2-17,MGYS,MGY
BAC,O,2-18-ADAS,2-18,ADAS,ADA
BAC,O,2-19-ADPC,2-19,ADPC,ADP
BAC,O,2-2-BSNS,2-2,BSNS,BSN
BAC,O,2-20-YCGH,2-20,YCGH,YCG
BAC,O,2-21-YCDG,2-21,YCDG,YCD
BAC,O,2-22-UJGN,2-22,UJGN,UJG
BAC,O,2-23-CGSJ,2-23,CGSJ,CGS
BAC,O,2-24-GHGHa,2-24,GHGHa,GHGa
BAC,O,2-25-GHGHb,2-25,GHGHb,GHGb
BAC,O,2-26-GHHM,2-26,GHHM,GHH
BAC,O,2-27-GHJY,2-27,GHJY,GHJ
BAC,O,2-28-MYSN,2-28,MYSN,MYS
BAC,O,2-29-SCHG,2-29,SCHG,SCH
BAC,O,2-3-BSIGa,2-3,BSIGa,BSI
BAC,O,2-30-YSDM,2-30,YSDM,YSD
BAC,O,2-31-YSYS,2-31,YSYS,YSY
BAC,O,2-32-JJNG,2-32,JJNG,JJN
BAC,O,2-32'-JJYS,2-32',JJYS,JJY
BAC,O,2-33-CWMS,2-33,CWMS,CWM
BAC,O,2-34-CWSS,2-34,CWSS,CWS
BAC,O,2-4-BSOC,2-4,BSOC,BSO
BAC,O,2-5-BSES,2-5,BSES,BSE
BAC,O,2-6-DGGW,2-6,DGGW,DGG
BAC,O,2-7-DGDS,2-7,DGDS,DGD
BAC,O,2-8-DGJY,2-8,DGJY,DGJ
BAC,O,2-9-DGGB,2-9,DGGB,DGB
BAC,O,3-1-BSSG,3-1,BSSG,BSS
BAC,O,3-10-DGDC,3-10,DGDC,DGC
BAC,O,3-11-DGYSa,3-11,DGYSa,DGY
BAC,O,3-12-USOS,3-12,USOS,USO
BAC,O,3-13-USYY,3-13,USYY,USY
BAC,O,3-14-USYJ,3-14,USYJ,USJ
BAC,O,3-15-GSGA,3-15,GSGA,GSG
BAC,O,3-16-GCGD,3-16,GCGD,GCG
BAC,O,3-17-MGYS,3-17,MGYS,MGY
BAC,O,3-18-ADAS,3-18,ADAS,ADA
BAC,O,3-19-ADPC,3-19,ADPC,ADP
BAC,O,3-2-BSNS,3-2,BSNS,BSN
BAC,O,3-20-YCGH,3-20,YCGH,YCG
BAC,O,3-21-YCDG,3-21,YCDG,YCD
BAC,O,3-22-UJGN,3-22,UJGN,UJG
BAC,O,3-23-CGSJ,3-23,CGSJ,CGS
BAC,O,3-24-GHGHa,3-24,GHGHa,GHGa
BAC,O,3-25-GHGHb,3-25,GHGHb,GHGb
BAC,O,3-26-GHHM,3-26,GHHM,GHH
BAC,O,3-27-GHJY,3-27,GHJY,GHJ
BAC,O,3-28-MYSN,3-28,MYSN,MYS
BAC,O,3-29-SCHG,3-29,SCHG,SCH
BAC,O,3-3-BSIGa,3-3,BSIGa,BSI
BAC,O,3-30-YSDM,3-30,YSDM,YSD
BAC,O,3-31-YSYS,3-31,YSYS,YSY
BAC,O,3-32-JJNG,3-32,JJNG,JJN
BAC,O,3-32'-JJYS,3-32',JJYS,JJY
BAC,O,3-33-CWMS,3-33,CWMS,CWM
BAC,O,3-34-CWSS,3-34,CWSS,CWS
BAC,O,3-4-BSOC,3-4,BSOC,BSO
BAC,O,3-5-BSES,3-5,BSES,BSE
BAC,O,3-6-DGGW,3-6,DGGW,DGG
BAC,O,3-7-DGDS,3-7,DGDS,DGD
BAC,O,3-8-DGJY,3-8,DGJY,DGJ
BAC,O,3-9-DGGB,3-9,DGGB,DGB
BAC,O,4-1-BSSG,4-1,BSSG,BSS
BAC,O,4-10-DGDC,4-10,DGDC,DGC
BAC,O,4-11-DGYSa,4-11,DGYSa,DGY
BAC,O,4-12-USOS,4-12,USOS,USO
BAC,O,4-13-USYY,4-13,USYY,USY
BAC,O,4-14-USYJ,4-14,USYJ,USJ
BAC,O,4-15-GSGA,4-15,GSGA,GSG
BAC,O,4-16-GCGD,4-16,GCGD,GCG
BAC,O,4-17-MGYS,4-17,MGYS,MGY
BAC,O,4-18-ADAS,4-18,ADAS,ADA
BAC,O,4-2-BSNS,4-2,BSNS,BSN
BAC,O,4-21-YCDG,4-21,YCDG,YCD
BAC,O,4-22-UJGN,4-22,UJGN,UJG
BAC,O,4-23-CGSJ,4-23,CGSJ,CGS
BAC,O,4-24-GHGHa,4-24,GHGHa,GHGa
BAC,O,4-25-GHGHb,4-25,GHGHb,GHGb
BAC,O,4-26-GHHM,4-26,GHHM,GHH
BAC,O,4-27-GHJY,4-27,GHJY,GHJ
BAC,O,4-28-MYSN,4-28,MYSN,MYS
BAC,O,4-29-SCHG,4-29,SCHG,SCH
BAC,O,4-3-BSIGa,4-3,BSIGa,BSI
BAC,O,4-30-YSDM,4-30,YSDM,YSD
BAC,O,4-31-YSYS,4-31,YSYS,YSY
BAC,O,4-32-JJNG,4-32,JJNG,JJN
BAC,O,4-32'-JJYS,4-32',JJYS,JJY
BAC,O,4-33-CWMS,4-33,CWMS,CWM
BAC,O,4-34-CWSS,4-34,CWSS,CWS
BAC,O,4-4-BSOC,4-4,BSOC,BSO
BAC,O,4-5-BSES,4-5,BSES,BSE
BAC,O,4-6-DGGW,4-6,DGGW,DGG
BAC,O,4-7-DGDS,4-7,DGDS,DGD
BAC,O,4-8-DGJY,4-8,DGJY,DGJ
BAC,O,4-9-DGGB,4-9,DGGB,DGB
ARC,O,1-1-BSSG,1-1,BSSG,BSS
ARC,O,1-10-DGDC,1-10,DGDC,DGC
ARC,O,1-11-DGYSa,1-11,DGYSa,DGY
ARC,O,1-11b-DGYSb,1-11b,DGYSb,DGYb
ARC,O,1-12-USOS,1-12,USOS,USO
ARC,O,1-13-USYY,1-13,USYY,USY
ARC,O,1-14-USYJ,1-14,USYJ,USJ
ARC,O,1-15-GSGA,1-15,GSGA,GSG
ARC,O,1-16-GCGD,1-16,GCGD,GCG
ARC,O,1-17-MGYS,1-17,MGYS,MGY
ARC,O,1-18-ADAS,1-18,ADAS,ADA
ARC,O,1-19-ADPC,1-19,ADPC,ADP
ARC,O,1-2-BSNS,1-2,BSNS,BSN
ARC,O,1-20-YCGH,1-20,YCGH,YCG
ARC,O,1-21-YCDG,1-21,YCDG,YCD
ARC,O,1-22-UJGN,1-22,UJGN,UJG
ARC,O,1-23-CGSJ,1-23,CGSJ,CGS
ARC,O,1-24-GHGHa,1-24,GHGHa,GHGa
ARC,O,1-25-GHGHb,1-25,GHGHb,GHGb
ARC,O,1-26-GHHM,1-26,GHHM,GHH
ARC,O,1-27-GHJY,1-27,GHJY,GHJ
ARC,O,1-28-MYSN,1-28,MYSN,MYS
ARC,O,1-29-SCHG,1-29,SCHG,SCH
ARC,O,1-3-BSIGa,1-3,BSIGa,BSI
ARC,O,1-30-YSDM,1-30,YSDM,YSD
ARC,O,1-31-YSYS,1-31,YSYS,YSY
ARC,O,1-32-JJNG,1-32,JJNG,JJN
ARC,O,1-33-CWMS,1-33,CWMS,CWM
ARC,O,1-34-CWSS,1-34,CWSS,CWS
ARC,O,1-3b-BSIGb,1-3b,BSIGb,BSIb
ARC,O,1-4-BSOC,1-4,BSOC,BSO
ARC,O,1-5-BSES,1-5,BSES,BSE
ARC,O,1-6-DGGW,1-6,DGGW,DGG
ARC,O,1-7-DGDS,1-7,DGDS,DGD
ARC,O,1-8-DGJY,1-8,DGJY,DGJ
ARC,O,1-9-DGGB,1-9,DGGB,DGB
ARC,O,2-1-BSSG,2-1,BSSG,BSS
ARC,O,2-10-DGDC,2-10,DGDC,DGC
ARC,O,2-11-DGYSa,2-11,DGYSa,DGY
ARC,O,2-12-USOS,2-12,USOS,USO
ARC,O,2-13-USYY,2-13,USYY,USY
ARC,O,2-14-USYJ,2-14,USYJ,USJ
ARC,O,2-15-GSGA,2-15,GSGA,GSG
ARC,O,2-16-GCGD,2-16,GCGD,GCG
ARC,O,2-17-MGYS,2-17,MGYS,MGY
ARC,O,2-18-ADAS,2-18,ADAS,ADA
ARC,O,2-19-ADPC,2-19,ADPC,ADP
ARC,O,2-2-BSNS,2-2,BSNS,BSN
ARC,O,2-20-YCGH,2-20,YCGH,YCG
ARC,O,2-21-YCDG,2-21,YCDG,YCD
ARC,O,2-22-UJGN,2-22,UJGN,UJG
ARC,O,2-23-CGSJ,2-23,CGSJ,CGS
ARC,O,2-24-GHGHa,2-24,GHGHa,GHGa
ARC,O,2-25-GHGHb,2-25,GHGHb,GHGb
ARC,O,2-26-GHHM,2-26,GHHM,GHH
ARC,O,2-27-GHJY,2-27,GHJY,GHJ
ARC,O,2-28-MYSN,2-28,MYSN,MYS
ARC,O,2-29-SCHG-ARC,2-29,SCHG-ARC,SCH
ARC,O,2-3-BSIGa,2-3,BSIGa,BSI
ARC,O,2-30-YSDM,2-30,YSDM,YSD
ARC,O,2-31-YSYS,2-31,YSYS,YSY
ARC,O,2-32-JJNG,2-32,JJNG,JJN
ARC,O,2-32'-JJYS,2-32',JJYS,JJY
ARC,O,2-33-CWMS,2-33,CWMS,CWM
ARC,O,2-34-CWSS,2-34,CWSS,CWS
ARC,O,2-4-BSOC,2-4,BSOC,BSO
ARC,O,2-5-BSES,2-5,BSES,BSE
ARC,O,2-6-DGGW,2-6,DGGW,DGG
ARC,O,2-7-DGDS,2-7,DGDS,DGD
ARC,O,2-8-DGJY,2-8,DGJY,DGJ
ARC,O,2-9-DGGB,2-9,DGGB,DGB
ARC,O,3-1-BSSG,3-1,BSSG,BSS
ARC,O,3-10-DGDC,3-10,DGDC,DGC
ARC,O,3-11-DGYSa,3-11,DGYSa,DGY
ARC,O,3-12-USOS,3-12,USOS,USO
ARC,O,3-13-USYY,3-13,USYY,USY
ARC,O,3-14-USYJ,3-14,USYJ,USJ
ARC,O,3-15-GSGA,3-15,GSGA,GSG
ARC,O,3-16-GCGD,3-16,GCGD,GCG
ARC,O,3-17-MGYS,3-17,MGYS,MGY
ARC,O,3-18-ADAS,3-18,ADAS,ADA
ARC,O,3-19-ADPC,3-19,ADPC,ADP
ARC,O,3-2-BSNS,3-2,BSNS,BSN
ARC,O,3-20-YCGH,3-20,YCGH,YCG
ARC,O,3-21-YCDG,3-21,YCDG,YCD
ARC,O,3-22-UJGN,3-22,UJGN,UJG
ARC,O,3-23-CGSJ,3-23,CGSJ,CGS
ARC,O,3-24-GHGHa,3-24,GHGHa,GHGa
ARC,O,3-25-GHGHb,3-25,GHGHb,GHGb
ARC,O,3-26-GHHM,3-26,GHHM,GHH
ARC,O,3-27-GHJY,3-27,GHJY,GHJ
ARC,O,3-28-MYSN,3-28,MYSN,MYS
ARC,O,3-29-SCHG,3-29,SCHG,SCH
ARC,O,3-3-BSIGa,3-3,BSIGa,BSI
ARC,O,3-30-YSDM,3-30,YSDM,YSD
ARC,O,3-31-YSYS,3-31,YSYS,YSY
ARC,O,3-32-JJNG,3-32,JJNG,JJN
ARC,O,3-32'-JJYS,3-32',JJYS,JJY
ARC,O,3-33-CWMS,3-33,CWMS,CWM
ARC,O,3-34-CWSS,3-34,CWSS,CWS
ARC,O,3-4-BSOC,3-4,BSOC,BSO
ARC,O,3-5-BSES,3-5,BSES,BSE
ARC,O,3-6-DGGW,3-6,DGGW,DGG
ARC,O,3-7-DGDS,3-7,DGDS,DGD
ARC,O,3-8-DGJY,3-8,DGJY,DGJ
ARC,O,3-9-DGGB,3-9,DGGB,DGB
ARC,O,4-1-BSSG,4-1,BSSG,BSS
ARC,O,4-10-DGDC,4-10,DGDC,DGC
ARC,O,4-11-DGYSa,4-11,DGYSa,DGY
ARC,O,4-12-USOS,4-12,USOS,USO
ARC,O,4-13-USYY,4-13,USYY,USY
ARC,O,4-14-USYJ,4-14,USYJ,USJ
ARC,O,4-15-GSGA,4-15,GSGA,GSG
ARC,O,4-16-GCGD,4-16,GCGD,GCG
ARC,O,4-17-MGYS,4-17,MGYS,MGY
ARC,O,4-18-ADAS,4-18,ADAS,ADA
ARC,O,4-2-BSNS,4-2,BSNS,BSN
ARC,O,4-21-YCDG,4-21,YCDG,YCD
ARC,O,4-22-UJGN,4-22,UJGN,UJG
ARC,O,4-23-CGSJ,4-23,CGSJ,CGS
ARC,O,4-25-GHGHb,4-25,GHGHb,GHGb
ARC,O,4-26-GHHM,4-26,GHHM,GHH
ARC,O,4-27-GHJY,4-27,GHJY,GHJ
ARC,O,4-28-MYSN,4-28,MYSN,MYS
ARC,O,4-29-SCHG,4-29,SCHG,SCH
ARC,O,4-3-BSIGa,4-3,BSIGa,BSI
ARC,O,4-30-YSDM,4-30,YSDM,YSD
ARC,O,4-31-YSYS,4-31,YSYS,YSY
ARC,O,4-32-JJNG,4-32,JJNG,JJN
ARC,O,4-32'-JJYS,4-32',JJYS,JJY
ARC,O,4-33-CWMS,4-33,CWMS,CWM
ARC,O,4-34-CWSS,4-34,CWSS,CWS
ARC,O,4-4-BSOC,4-4,BSOC,BSO
ARC,O,4-5-BSES,4-5,BSES,BSE
ARC,O,4-6-DGGW,4-6,DGGW,DGG
ARC,O,4-7-DGDS,4-7,DGDS,DGD
ARC,O,4-8-DGJY,4-8,DGJY,DGJ
ARC,O,4-9-DGGB,4-9,DGGB,DGB
ARC,G,1-1-BSSG,1-1,BSSG,BSS
ARC,G,1-10-DGDC,1-10,DGDC,DGC
ARC,G,1-11-DGYSa,1-11,DGYSa,DGY
ARC,G,1-11b-DGYSb,1-11b,DGYSb,DGYb
ARC,G,1-12-USOS,1-12,USOS,USO
ARC,G,1-13-USYY,1-13,USYY,USY
ARC,G,1-14-USYJ,1-14,USYJ,USJ
ARC,G,1-15-GSGA,1-15,GSGA,GSG
ARC,G,1-16-GCGD,1-16,GCGD,GCG
ARC,G,1-17-MGYS,1-17,MGYS,MGY
ARC,G,1-18-ADAS,1-18,ADAS,ADA
ARC,G,1-19-ADPC,1-19,ADPC,ADP
ARC,G,1-2-BSNS,1-2,BSNS,BSN
ARC,G,1-20-YCGH,1-20,YCGH,YCG
ARC,G,1-21-YCDG,1-21,YCDG,YCD
ARC,G,1-22-UJGN,1-22,UJGN,UJG
ARC,G,1-23-CGSJ,1-23,CGSJ,CGS
ARC,G,1-24-GHGHa,1-24,GHGHa,GHGa
ARC,G,1-25-GHGHb,1-25,GHGHb,GHGb
ARC,G,1-26-GHHM,1-26,GHHM,GHH
ARC,G,1-27-GHJY,1-27,GHJY,GHJ
ARC,G,1-28-MYSN,1-28,MYSN,MYS
ARC,G,1-29-SCHG,1-29,SCHG,SCH
ARC,G,1-3-BSIGa,1-3,BSIGa,BSI
ARC,G,1-30-YSDM,1-30,YSDM,YSD
ARC,G,1-31-YSYS,1-31,YSYS,YSY
ARC,G,1-32-JJNG,1-32,JJNG,JJN
ARC,G,1-33-CWMS,1-33,CWMS,CWM
ARC,G,1-34-CWSS,1-34,CWSS,CWS
ARC,G,1-3b-BSIGb,1-3b,BSIGb,BSIb
ARC,G,1-4-BSOC,1-4,BSOC,BSO
ARC,G,1-5-BSES,1-5,BSES,BSE
ARC,G,1-6-DGGW,1-6,DGGW,DGG
ARC,G,1-7-DGDS,1-7,DGDS,DGD
ARC,G,1-8-DGJY,1-8,DGJY,DGJ
ARC,G,1-9-DGGB,1-9,DGGB,DGB
ARC,G,2-1-BSSG,2-1,BSSG,BSS
ARC,G,2-10-DGDC,2-10,DGDC,DGC
ARC,G,2-11-DGYSa,2-11,DGYSa,DGY
ARC,G,2-12-USOS,2-12,USOS,USO
ARC,G,2-13-USYY,2-13,USYY,USY
ARC,G,2-14-USYJ,2-14,USYJ,USJ
ARC,G,2-15-GSGA,2-15,GSGA,GSG
ARC,G,2-16-GCGD,2-16,GCGD,GCG
ARC,G,2-17-MGYS,2-17,MGYS,MGY
ARC,G,2-18-ADAS,2-18,ADAS,ADA
ARC,G,2-19-ADPC,2-19,ADPC,ADP
ARC,G,2-2-BSNS,2-2,BSNS,BSN
ARC,G,2-20-YCGH,2-20,YCGH,YCG
ARC,G,2-21-YCDG,2-21,YCDG,YCD
ARC,G,2-22-UJGN,2-22,UJGN,UJG
ARC,G,2-23-CGSJ,2-23,CGSJ,CGS
ARC,G,2-24-GHGHa,2-24,GHGHa,GHGa
ARC,G,2-25-GHGHb,2-25,GHGHb,GHGb
ARC,G,2-26-GHHM,2-26,GHHM,GHH
ARC,G,2-27-GHJY,2-27,GHJY,GHJ
ARC,G,2-28-MYSN,2-28,MYSN,MYS
ARC,G,2-29-SCHG-ARC,2-29,SCHG-ARC,SCH
ARC,G,2-3-BSIGa,2-3,BSIGa,BSI
ARC,G,2-30-YSDM,2-30,YSDM,YSD
ARC,G,2-31-YSYS,2-31,YSYS,YSY
ARC,G,2-32-JJNG,2-32,JJNG,JJN
ARC,G,2-32'-JJYS,2-32',JJYS,JJY
ARC,G,2-33-CWMS,2-33,CWMS,CWM
ARC,G,2-34-CWSS,2-34,CWSS,CWS
ARC,G,2-4-BSOC,2-4,BSOC,BSO
ARC,G,2-5-BSES,2-5,BSES,BSE
ARC,G,2-6-DGGW,2-6,DGGW,DGG
ARC,G,2-7-DGDS,2-7,DGDS,DGD
ARC,G,2-8-DGJY,2-8,DGJY,DGJ
ARC,G,2-9-DGGB,2-9,DGGB,DGB
ARC,G,3-1-BSSG,3-1,BSSG,BSS
ARC,G,3-10-DGDC,3-10,DGDC,DGC
ARC,G,3-11-DGYSa,3-11,DGYSa,DGY
