Model,Multilabel MCC,Micro-AUPR
RandomForest,0.47822932848909383,0.4211248729722878
KNN,0.35638399760707956,0.3891319934768547
SVM,0.3636315276674471,0.35150766685332463
NNET,0.2775845433007644,0.2368893911140133
XGBoost,0.41641486210334755,0.37689037431245004
GLMNET,0.4829671247155979,0.31525860279369083
