block,taxon,feature,samples_above_0_1_percent,training_samples_above_0_1_percent,included_in_final_matrix
BAC_O,Caldatribacteriales,BAC_O::Caldatribacteriales,83,68,True
BAC_O,Caldicoprobacterales,BAC_O::Caldicoprobacterales,71,59,True
BAC_O,Caldilineales,BAC_O::Caldilineales,25,22,True
BAC_O,Caldisericales,BAC_O::Caldisericales,84,64,True
BAC_O,Campylobacterales,BAC_O::Campylobacterales,26,16,True
BAC_O,Candidatus_Falkowbacteria,BAC_O::Candidatus_Falkowbacteria,2,1,True
BAC_O,Candidatus_Peregrinibacteria,BAC_O::Candidatus_Peregrinibacteria,5,4,True
BAC_O,Candidatus_Shapirobacteria,BAC_O::Candidatus_Shapirobacteria,1,1,True
BAC_O,Cardiobacteriales,BAC_O::Cardiobacteriales,1,1,True
BAC_O,Caulobacterales,BAC_O::Caulobacterales,45,34,True
BAC_O,Cellvibrionales,BAC_O::Cellvibrionales,39,26,True
BAC_O,Chitinophagales,BAC_O::Chitinophagales,81,59,True
BAC_O,Chlamydiales,BAC_O::Chlamydiales,6,3,True
BAC_O,Christensenellales,BAC_O::Christensenellales,133,105,True
BAC_O,Chthoniobacterales,BAC_O::Chthoniobacterales,1,1,True
BAC_O,Chthonomonadales,BAC_O::Chthonomonadales,16,14,True
BAC_O,Cloacimonadales,BAC_O::Cloacimonadales,133,104,True
BAC_O,Clostridia,BAC_O::Clostridia,135,107,True
BAC_O,Clostridia_UCG-014,BAC_O::Clostridia_UCG-014,19,14,True
BAC_O,Clostridiales,BAC_O::Clostridiales,41,32,True
BAC_O,Competibacterales,BAC_O::Competibacterales,54,37,True
BAC_O,Coprothermobacterales,BAC_O::Coprothermobacterales,8,8,True
BAC_O,Coriobacteriales,BAC_O::Coriobacteriales,20,18,True
BAC_O,Corynebacteriales,BAC_O::Corynebacteriales,39,32,True
BAC_O,Cytophagales,BAC_O::Cytophagales,20,14,True
BAC_O,D8A-2,BAC_O::D8A-2,103,89,True
BAC_O,DS-100,BAC_O::DS-100,25,20,True
BAC_O,DTU014,BAC_O::DTU014,124,103,True
BAC_O,Defluviicoccales,BAC_O::Defluviicoccales,9,6,True
BAC_O,Deinococcales,BAC_O::Deinococcales,4,1,True
BAC_O,Desulfitibacterales,BAC_O::Desulfitibacterales,6,6,True
BAC_O,Desulfitobacteriales,BAC_O::Desulfitobacteriales,3,3,True
BAC_O,Desulfobulbales,BAC_O::Desulfobulbales,37,27,True
BAC_O,Desulfotomaculales,BAC_O::Desulfotomaculales,83,70,True
BAC_O,Desulfovibrionales,BAC_O::Desulfovibrionales,51,40,True
BAC_O,Desulfuromonadia,BAC_O::Desulfuromonadia,9,8,True
BAC_O,Dethiobacterales,BAC_O::Dethiobacterales,47,41,True
BAC_O,Diplorickettsiales,BAC_O::Diplorickettsiales,1,1,True
BAC_O,Dongiales,BAC_O::Dongiales,1,1,True
BAC_O,Ectothiorhodospirales,BAC_O::Ectothiorhodospirales,1,1,True
BAC_O,Elsterales,BAC_O::Elsterales,1,1,True
BAC_O,Endomicrobiales,BAC_O::Endomicrobiales,7,7,True
BAC_O,Enterobacterales,BAC_O::Enterobacterales,18,15,True
BAC_O,Erysipelotrichales,BAC_O::Erysipelotrichales,29,24,True
BAC_O,Eubacteriales,BAC_O::Eubacteriales,29,25,True
BAC_O,Fermentibacterales,BAC_O::Fermentibacterales,16,11,True
BAC_O,Fibrobacterales,BAC_O::Fibrobacterales,16,13,True
BAC_O,Fimbriimonadales,BAC_O::Fimbriimonadales,23,15,True
BAC_O,Flavobacteriales,BAC_O::Flavobacteriales,66,47,True
BAC_O,Frankiales,BAC_O::Frankiales,9,7,True
BAC_O,Fusobacteriales,BAC_O::Fusobacteriales,21,14,True
BAC_O,Gaiellales,BAC_O::Gaiellales,48,36,True
BAC_O,Gammaproteobacteria_Incertae_Sedis,BAC_O::Gammaproteobacteria_Incertae_Sedis,7,4,True
BAC_O,Gemmatales,BAC_O::Gemmatales,32,25,True
BAC_O,Gemmatimonadales,BAC_O::Gemmatimonadales,16,11,True
BAC_O,Geobacterales,BAC_O::Geobacterales,12,11,True
BAC_O,HOC36,BAC_O::HOC36,1,1,True
BAC_O,Halanaerobiales,BAC_O::Halanaerobiales,2,2,True
BAC_O,Haliangiales,BAC_O::Haliangiales,6,3,True
BAC_O,Holophagales,BAC_O::Holophagales,11,7,True
BAC_O,Hydrogenedentiales,BAC_O::Hydrogenedentiales,65,49,True
BAC_O,Hydrothermae,BAC_O::Hydrothermae,1,1,True
BAC_O,IMCC26256,BAC_O::IMCC26256,5,2,True
BAC_O,Ignavibacteriales,BAC_O::Ignavibacteriales,29,20,True
BAC_O,Incertae_Sedis,BAC_O::Incertae_Sedis,35,32,True
BAC_O,Isosphaerales,BAC_O::Isosphaerales,7,6,True
BAC_O,Izemoplasmatales,BAC_O::Izemoplasmatales,59,52,True
BAC_O,JG36-GS-52,BAC_O::JG36-GS-52,2,2,True
BAC_O,JS1,BAC_O::JS1,64,46,True
BAC_O,Kapabacteriales,BAC_O::Kapabacteriales,44,33,True
BAC_O,Kosmotogales,BAC_O::Kosmotogales,47,34,True
BAC_O,LD1-PA32,BAC_O::LD1-PA32,16,12,True
BAC_O,LD1-PB3,BAC_O::LD1-PB3,32,25,True
BAC_O,Lachnospirales,BAC_O::Lachnospirales,108,90,True
BAC_O,Lactobacillales,BAC_O::Lactobacillales,99,78,True
BAC_O,Leptospirales,BAC_O::Leptospirales,66,50,True
