target,curve,x,y
warning_acid_base_balance,PR,1.0,0.13761467889908258
warning_acid_base_balance,PR,1.0,0.14018691588785046
warning_acid_base_balance,PR,1.0,0.14285714285714285
warning_acid_base_balance,PR,1.0,0.14423076923076922
warning_acid_base_balance,PR,1.0,0.14563106796116504
warning_acid_base_balance,PR,1.0,0.14705882352941177
warning_acid_base_balance,PR,1.0,0.1485148514851485
warning_acid_base_balance,PR,1.0,0.15
warning_acid_base_balance,PR,1.0,0.15151515151515152
warning_acid_base_balance,PR,1.0,0.15306122448979592
warning_acid_base_balance,PR,1.0,0.15463917525773196
warning_acid_base_balance,PR,1.0,0.15625
warning_acid_base_balance,PR,1.0,0.15789473684210525
warning_acid_base_balance,PR,1.0,0.1595744680851064
warning_acid_base_balance,PR,1.0,0.16129032258064516
warning_acid_base_balance,PR,1.0,0.16304347826086957
warning_acid_base_balance,PR,1.0,0.16483516483516483
warning_acid_base_balance,PR,1.0,0.16666666666666666
warning_acid_base_balance,PR,1.0,0.16853932584269662
warning_acid_base_balance,PR,0.9333333333333333,0.1590909090909091
warning_acid_base_balance,PR,0.9333333333333333,0.16091954022988506
warning_acid_base_balance,PR,0.9333333333333333,0.16279069767441862
warning_acid_base_balance,PR,0.9333333333333333,0.16470588235294117
warning_acid_base_balance,PR,0.9333333333333333,0.16666666666666666
warning_acid_base_balance,PR,0.9333333333333333,0.1686746987951807
warning_acid_base_balance,PR,0.9333333333333333,0.17073170731707318
warning_acid_base_balance,PR,0.9333333333333333,0.1728395061728395
warning_acid_base_balance,PR,0.9333333333333333,0.175
warning_acid_base_balance,PR,0.9333333333333333,0.17721518987341772
warning_acid_base_balance,PR,0.9333333333333333,0.1794871794871795
warning_acid_base_balance,PR,0.9333333333333333,0.18181818181818182
warning_acid_base_balance,PR,0.9333333333333333,0.18421052631578946
warning_acid_base_balance,PR,0.9333333333333333,0.18666666666666668
warning_acid_base_balance,PR,0.9333333333333333,0.1891891891891892
warning_acid_base_balance,PR,0.9333333333333333,0.1917808219178082
warning_acid_base_balance,PR,0.9333333333333333,0.19444444444444445
warning_acid_base_balance,PR,0.9333333333333333,0.19718309859154928
warning_acid_base_balance,PR,0.9333333333333333,0.2
warning_acid_base_balance,PR,0.9333333333333333,0.2028985507246377
warning_acid_base_balance,PR,0.9333333333333333,0.20588235294117646
warning_acid_base_balance,PR,0.9333333333333333,0.208955223880597
warning_acid_base_balance,PR,0.9333333333333333,0.21212121212121213
warning_acid_base_balance,PR,0.9333333333333333,0.2153846153846154
warning_acid_base_balance,PR,0.9333333333333333,0.21875
warning_acid_base_balance,PR,0.9333333333333333,0.2222222222222222
warning_acid_base_balance,PR,0.9333333333333333,0.22580645161290322
warning_acid_base_balance,PR,0.9333333333333333,0.22950819672131148
warning_acid_base_balance,PR,0.9333333333333333,0.23333333333333334
warning_acid_base_balance,PR,0.9333333333333333,0.23728813559322035
warning_acid_base_balance,PR,0.9333333333333333,0.2413793103448276
warning_acid_base_balance,PR,0.9333333333333333,0.24561403508771928
warning_acid_base_balance,PR,0.9333333333333333,0.25
warning_acid_base_balance,PR,0.9333333333333333,0.2545454545454545
warning_acid_base_balance,PR,0.9333333333333333,0.25925925925925924
warning_acid_base_balance,PR,0.9333333333333333,0.2641509433962264
warning_acid_base_balance,PR,0.9333333333333333,0.2692307692307692
warning_acid_base_balance,PR,0.9333333333333333,0.27450980392156865
warning_acid_base_balance,PR,0.9333333333333333,0.28
warning_acid_base_balance,PR,0.8666666666666667,0.2653061224489796
warning_acid_base_balance,PR,0.8666666666666667,0.2708333333333333
warning_acid_base_balance,PR,0.8,0.2553191489361702
warning_acid_base_balance,PR,0.8,0.2608695652173913
warning_acid_base_balance,PR,0.8,0.26666666666666666
warning_acid_base_balance,PR,0.8,0.2727272727272727
warning_acid_base_balance,PR,0.8,0.27906976744186046
warning_acid_base_balance,PR,0.7333333333333333,0.2619047619047619
warning_acid_base_balance,PR,0.7333333333333333,0.2682926829268293
warning_acid_base_balance,PR,0.7333333333333333,0.275
warning_acid_base_balance,PR,0.6666666666666666,0.2564102564102564
warning_acid_base_balance,PR,0.6666666666666666,0.2631578947368421
warning_acid_base_balance,PR,0.6,0.24324324324324326
warning_acid_base_balance,PR,0.5333333333333333,0.2222222222222222
warning_acid_base_balance,PR,0.5333333333333333,0.22857142857142856
warning_acid_base_balance,PR,0.4666666666666667,0.20588235294117646
