SampleID,BAC_F::009E01-B-SD-P15,BAC_F::Acholeplasmataceae,BAC_F::Aminicenantales,BAC_F::Anaerolineaceae,BAC_F::Anaerovoracaceae,BAC_F::Atopobiaceae,BAC_F::Bacteroidales_UCG-001,BAC_F::Bacteroidetes_vadinHA17,BAC_F::Brachyspirales_Incertae_Sedis,BAC_F::Caldatribacteriaceae,BAC_F::Caldicoprobacteraceae,BAC_F::Chitinophagaceae,BAC_F::Christensenellaceae,BAC_F::Cloacimonadaceae,BAC_F::Comamonadaceae,BAC_F::Competibacteraceae,BAC_F::Coprothermobacteraceae,BAC_F::D8A-2,BAC_F::DTU014,BAC_F::Desulfotomaculales,BAC_F::Dethiobacteraceae,BAC_F::Dysgonomonadaceae,BAC_F::Fermentibacteraceae,BAC_F::Gracilibacteraceae,BAC_F::Hungateiclostridiaceae,BAC_F::Incertae_Sedis,BAC_F::Intrasporangiaceae,BAC_F::Kosmotogaceae,BAC_F::LD1-PA32,BAC_F::Lachnospiraceae,BAC_F::Lactobacillaceae,BAC_F::Lentimicrobiaceae,BAC_F::MBA03,BAC_F::Marinilabiliaceae,BAC_F::Methylophilaceae,BAC_F::Paludibacteraceae,BAC_F::Pedosphaeraceae,BAC_F::Peptostreptococcales-Tissierellales,BAC_F::Petrotogaceae,BAC_F::Prevotellaceae,BAC_F::Prolixibacteraceae,BAC_F::Rhodanobacteraceae,BAC_F::Rhodobacteraceae,BAC_F::Rhodocyclaceae,BAC_F::Rikenellaceae,BAC_F::Ruminococcaceae,BAC_F::SBR1031,BAC_F::SC-I-84,BAC_F::SJA-15,BAC_F::SJA-28,BAC_F::ST-12K33,BAC_F::Saprospiraceae,BAC_F::Sedimentibacteraceae,BAC_F::Smithellaceae,BAC_F::Spirochaetaceae,BAC_F::Synergistaceae,BAC_F::Syntrophomonadaceae,BAC_F::Syntrophorhabdaceae,BAC_F::Thermacetogeniaceae,BAC_F::UCG-010,BAC_F::W27,BAC_F::Williamwhitmaniaceae,BAC_F::Xanthomonadaceae,BAC_F::unidentified,ARC_F::Bathyarchaeia,ARC_F::Methanofastidiosaceae,ARC_F::Methanomassiliicoccaceae,ARC_F::Methanomethylophilaceae,ARC_F::Methanomicrobiaceae,ARC_F::Methanomicrobiales,ARC_F::Methanoregulaceae,ARC_F::Methanosaetaceae,ARC_F::Methanosarcinaceae,ARC_F::Methanospirillaceae,ARC_F::SCGC_AAA011-D5,ARC_F::unidentified
1-1,-0.3146951316200745,2.0267572063331367,-0.2786014357838281,-0.3172224093480428,-0.4829731286426139,-0.248139676605433,-0.3317067716860712,-1.1008632322657288,-0.27920649502921685,-0.2978733721989609,-0.6098175211857817,-0.25887566538354695,-1.59395116368495,-1.3480875253681583,-1.1701284557798945,-0.26171126421407187,-0.25717011762422254,-0.315615924766411,0.4857110811875658,-0.2807523798257048,1.812909057748925,0.9521291112243109,-0.25929111231139323,-0.33343060359832455,1.1442897652690531,-0.299336487290174,-0.34850059635230957,-0.46754848914826713,-0.24120888364516485,1.6244965061419034,2.62467508769019,1.2891426226590796,1.5490987588144502,2.7792739679512057,-0.27882114508396255,-0.7947275757357647,-0.33293440178716177,1.6889740019806816,-0.6665578562638108,-0.3015670449489955,-0.9290373106374975,-0.25731350500337025,-0.2605167866416426,-0.835839171585574,1.265033292085413,-0.3698982162352891,-0.47855290519896604,-0.24087068121994223,-0.277983552540076,-0.2412333521906388,-0.8792698514000359,-0.5109451930187279,-1.316424406090223,-0.868205163374405,0.48134539931494597,0.15623237148715882,0.2484221737472495,-0.5718090686252539,-0.36483934571277726,-0.2804105274891837,2.0296345796739024,-0.6606004639354053,-0.3505329409883197,0.2547665492388438,-0.2612302291518139,-1.520480680213737,0.28012197811458156,-0.5929163558217506,1.6454088004514982,-0.36085284439182824,-1.2460413069840137,-2.343191178360783,0.7475026510799839,-1.8953449322431994,-0.3330065807839024,0.4035328457760505
2-1,-0.3146951316200745,1.6075943756371662,-0.2786014357838281,-0.3172224093480428,-0.4829731286426139,-0.248139676605433,-0.3317067716860712,-1.1008632322657288,-0.27920649502921685,2.8630391732747063,-0.6098175211857817,-0.25887566538354695,0.057205429924392835,-1.3480875253681583,0.9094779126321512,-0.26171126421407187,-0.25717011762422254,2.800963626162392,0.2588950809768365,-0.2807523798257048,1.8248887824003417,0.9243886692861516,-0.25929111231139323,-0.33343060359832455,1.194924701259679,-0.299336487290174,-0.34850059635230957,-0.46754848914826713,-0.24120888364516485,-0.5103576072354102,2.948090411426801,-0.6384585215457572,-0.4675821961603393,2.790928389990377,-0.27882114508396255,-0.7947275757357647,-0.33293440178716177,1.616196366020208,-0.6665578562638108,-0.3015670449489955,-0.9290373106374975,-0.25731350500337025,-0.2605167866416426,-0.835839171585574,1.2929077061873822,-0.3698982162352891,-0.47855290519896604,-0.24087068121994223,-0.277983552540076,-0.2412333521906388,-0.8792698514000359,-0.5109451930187279,-1.316424406090223,-0.868205163374405,0.42864399383578033,-1.6600369958634444,0.3605008143421327,-0.5718090686252539,-0.36483934571277726,-0.2804105274891837,1.732259156314171,-0.6606004639354053,-0.3505329409883197,0.12387695320611754,-0.2612302291518139,-1.520480680213737,0.39999250889235155,-0.5929163558217506,1.5732639627849747,-0.36085284439182824,-1.2460413069840137,-2.343191178360783,1.2230662077253491,-1.8953449322431994,-0.3330065807839024,0.7784194633847697
3-1,-0.3146951316200745,2.1694168664359395,-0.2786014357838281,-0.3172224093480428,-0.4829731286426139,-0.248139676605433,-0.3317067716860712,-1.1008632322657288,-0.27920649502921685,-0.2978733721989609,1.3237961273529628,-0.25887566538354695,-1.59395116368495,-1.3480875253681583,-1.1701284557798945,-0.26171126421407187,-0.25717011762422254,-0.315615924766411,0.5214769236019584,-0.2807523798257048,-0.4511987265301896,0.7892627445841813,-0.25929111231139323,-0.33343060359832455,1.0072941831625486,-0.299336487290174,-0.34850059635230957,-0.46754848914826713,-0.24120888364516485,1.5909732803292402,-0.22976841809730592,1.4031737045277963,1.9527400979096887,3.5082914387099224,-0.27882114508396255,-0.7947275757357647,-0.33293440178716177,1.4938149778848555,-0.6665578562638108,-0.3015670449489955,-0.9290373106374975,-0.25731350500337025,-0.2605167866416426,-0.835839171585574,1.211928276912266,-0.3698982162352891,-0.47855290519896604,-0.24087068121994223,-0.277983552540076,-0.2412333521906388,-0.8792698514000359,-0.5109451930187279,-1.316424406090223,-0.868205163374405,0.5069945346690795,-1.6600369958634444,0.478739873165463,-0.5718090686252539,-0.36483934571277726,-0.2804105274891837,2.037942579914571,-0.6606004639354053,-0.3505329409883197,0.13930070463230762,-0.2612302291518139,-1.520480680213737,-1.371522640271451,-0.5929163558217506,0.2421583963191958,-0.36085284439182824,-1.2460413069840137,-2.343191178360783,0.5097476553649932,-1.8953449322431994,-0.3330065807839024,2.6616165884105283
4-1,-0.3146951316200745,1.627022400341979,-0.2786014357838281,-0.3172224093480428,-0.4829731286426139,-0.248139676605433,-0.3317067716860712,-1.1008632322657288,-0.27920649502921685,3.4296063960756964,-0.6098175211857817,-0.25887566538354695,-1.59395116368495,-1.3480875253681583,1.2350574956983091,-0.26171126421407187,-0.25717011762422254,2.947610490548146,-1.3569552231050737,-0.2807523798257048,1.8714277342134773,1.153708500731898,-0.25929111231139323,-0.33343060359832455,1.420101053786956,-0.299336487290174,-0.34850059635230957,-0.46754848914826713,-0.24120888364516485,-0.5103576072354102,-0.22976841809730592,-0.6384585215457572,-0.4675821961603393,-0.33428083968199873,-0.27882114508396255,-0.7947275757357647,-0.33293440178716177,1.350753805746613,-0.6665578562638108,-0.3015670449489955,-0.9290373106374975,-0.25731350500337025,-0.2605167866416426,-0.835839171585574,0.9824163973923558,-0.3698982162352891,-0.47855290519896604,-0.24087068121994223,-0.277983552540076,-0.2412333521906388,-0.8792698514000359,-0.5109451930187279,-1.316424406090223,-0.868205163374405,-1.1597510241471733,0.15956967013322332,-1.469104579772562,-0.5718090686252539,-0.36483934571277726,-0.2804105274891837,1.3699676617497678,-0.6606004639354053,-0.3505329409883197,-0.1402522391673939,-0.2612302291518139,-1.520480680213737,-1.371522640271451,-0.5929163558217506,1.2844803771627544,-0.36085284439182824,-1.2460413069840137,-2.343191178360783,2.3098900142624985,-1.8953449322431994,-0.3330065807839024,-1.159441389778703
1-2,-0.3146951316200745,-0.5921793865411434,-0.2786014357838281,-0.3172224093480428,-0.4829731286426139,-0.248139676605433,-0.3317067716860712,0.8512678395695907,-0.27920649502921685,-0.2978733721989609,-0.6098175211857817,-0.25887566538354695,1.0110287093638037,0.5765994015264352,0.40910596534576177,-0.26171126421407187,-0.25717011762422254,-0.315615924766411,-1.3569552231050737,4.102294086633356,-0.4511987265301896,0.5520070034689262,-0.25929111231139323,-0.33343060359832455,0.6637533896229637,-0.299336487290174,-0.34850059635230957,2.2273902115075166,-0.24120888364516485,-0.5103576072354102,-0.22976841809730592,-0.6384585215457572,-0.4675821961603393,-0.33428083968199873,-0.27882114508396255,-0.7947275757357647,-0.33293440178716177,-0.7897716388053342,1.2762998033126074,-0.3015670449489955,1.874336053266171,-0.25731350500337025,-0.2605167866416426,-0.835839171585574,0.49884071647648154,-0.3698982162352891,-0.47855290519896604,-0.24087068121994223,-0.277983552540076,-0.2412333521906388,1.2017973167100278,-0.5109451930187279,0.8800234642786559,0.8254729347956837,-1.1597510241471733,0.664778036103658,0.32622224400736727,-0.5718090686252539,-0.36483934571277726,-0.2804105274891837,0.9502766817793226,1.1059895224127703,-0.3505329409883197,0.19228478341330563,-0.2612302291518139,0.3891045220341818,-1.371522640271451,-0.5929163558217506,-0.4446188226773376,-0.36085284439182824,1.2574938961085425,0.6808741523608421,0.5886798314801068,-0.08065350034101372,2.691080980388282,0.19117283717863381
2-2,-0.3146951316200745,-0.5921793865411434,-0.2786014357838281,-0.3172224093480428,-0.4829731286426139,-0.248139676605433,-0.3317067716860712,0.8204828046263569,-0.27920649502921685,-0.2978733721989609,-0.6098175211857817,-0.25887566538354695,0.8083491340278237,0.7311814479423574,-1.1701284557798945,-0.26171126421407187,-0.25717011762422254,-0.315615924766411,-1.3569552231050737,3.6209793958298055,-0.4511987265301896,0.3347341640960222,-0.25929111231139323,-0.33343060359832455,0.5845018846969964,-0.299336487290174,-0.34850059635230957,2.218581285112057,-0.24120888364516485,-0.5103576072354102,-0.22976841809730592,-0.6384585215457572,-0.4675821961603393,-0.33428083968199873,-0.27882114508396255,0.8944259720978321,-0.33293440178716177,0.7941705871859835,-0.6665578562638108,-0.3015670449489955,1.8510610822261029,-0.25731350500337025,-0.2605167866416426,-0.835839171585574,0.36367483714203674,-0.3698982162352891,-0.47855290519896604,-0.24087068121994223,-0.277983552540076,-0.2412333521906388,0.8859476447659765,-0.5109451930187279,1.0410452157115158,0.7012224268909004,-1.1597510241471733,0.5042211971602534,0.351604690684927,-0.5718090686252539,-0.36483934571277726,-0.2804105274891837,-0.5944747940815426,-0.6606004639354053,2.9586117582500835,0.2795860626294488,-0.2612302291518139,0.5324920912561651,-1.371522640271451,-0.5929163558217506,-1.4634732990019304,-0.36085284439182824,1.2244597316343535,0.6337099883028426,0.8973093364001633,-0.028963788675452712,3.0644714924054615,-1.159441389778703
3-2,-0.3146951316200745,-0.5921793865411434,-0.2786014357838281,-0.3172224093480428,-0.4829731286426139,-0.248139676605433,-0.3317067716860712,0.8277560238618161,-0.27920649502921685,-0.2978733721989609,-0.6098175211857817,-0.25887566538354695,1.1149876461060908,0.9441813592375793,0.46331763983908913,-0.26171126421407187,-0.25717011762422254,-0.315615924766411,-1.3569552231050737,3.7019768493204888,-0.4511987265301896,0.5853466002378062,-0.25929111231139323,-0.33343060359832455,0.5082469447196294,-0.299336487290174,-0.34850059635230957,2.5434447811596206,-0.24120888364516485,-0.5103576072354102,-0.22976841809730592,-0.6384585215457572,-0.4675821961603393,-0.33428083968199873,-0.27882114508396255,0.9231799772387006,-0.33293440178716177,-0.7897716388053342,-0.6665578562638108,-0.3015670449489955,1.0424302395673377,-0.25731350500337025,-0.2605167866416426,-0.835839171585574,0.6393095181229153,-0.3698982162352891,-0.47855290519896604,-0.24087068121994223,3.1494715833831908,-0.2412333521906388,0.737538655181716,-0.5109451930187279,0.969438758523844,0.8343940751640974,-1.1597510241471733,0.6656967647753955,-1.469104579772562,-0.5718090686252539,-0.36483934571277726,-0.2804105274891837,1.0490149450742476,-0.6606004639354053,2.4790728979847954,0.24505689495757094,-0.2612302291518139,0.5056752778564243,0.3244186001350224,-0.5929163558217506,-1.4634732990019304,-0.36085284439182824,1.1957161523998017,0.6372329022865987,0.7177908837545746,0.22851183615019108,-0.3330065807839024,-1.159441389778703
4-2,-0.3146951316200745,-0.5921793865411434,-0.2786014357838281,-0.3172224093480428,-0.4829731286426139,2.452129564958701,-0.3317067716860712,1.0561601233453861,-0.27920649502921685,-0.2978733721989609,-0.6098175211857817,-0.25887566538354695,1.3372515190448993,0.7426976057574282,0.6085014162047855,-0.26171126421407187,-0.25717011762422254,-0.315615924766411,-1.3569552231050737,-0.2807523798257048,-0.4511987265301896,0.6186712088616689,-0.25929111231139323,-0.33343060359832455,-0.0034406838668180812,-0.299336487290174,-0.34850059635230957,2.6598922205053914,-0.24120888364516485,-0.5103576072354102,-0.22976841809730592,-0.6384585215457572,-0.4675821961603393,-0.33428083968199873,-0.27882114508396255,0.9330754548216896,-0.33293440178716177,-0.7897716388053342,1.4399320524352015,-0.3015670449489955,1.2103225761759726,-0.25731350500337025,-0.2605167866416426,-0.835839171585574,0.440454876748873,-0.3698982162352891,-0.47855290519896604,-0.24087068121994223,-0.277983552540076,-0.2412333521906388,0.8354529476112843,-0.5109451930187279,0.9185374971368441,0.7349583891052613,-1.1597510241471733,0.6424746451827907,0.44022748426070346,-0.5718090686252539,-0.36483934571277726,-0.2804105274891837,-0.5944747940815426,1.3936769152664894,3.10023835049191,0.39318273725266834,-0.2612302291518139,0.32203321887573955,-1.371522640271451,-0.5929163558217506,-1.4634732990019304,-0.36085284439182824,1.2322911635842573,0.8620913611056574,-0.7045456430517671,-0.2801635457468592,-0.3330065807839024,-1.159441389778703
1-3,-0.3146951316200745,-0.5921793865411434,-0.2786014357838281,-0.3172224093480428,-0.4829731286426139,-0.248139676605433,-0.3317067716860712,1.0439624072510696,-0.27920649502921685,-0.2978733721989609,-0.6098175211857817,-0.25887566538354695,0.601861579697739,0.8278212594471497,0.8642379781601458,-0.26171126421407187,-0.25717011762422254,-0.315615924766411,0.6872231567052096,-0.2807523798257048,-0.4511987265301896,-1.2701405848923653,-0.25929111231139323,-0.33343060359832455,-0.34866313090615286,-0.299336487290174,-0.34850059635230957,1.7485803920709524,-0.24120888364516485,-0.5103576072354102,-0.22976841809730592,-0.6384585215457572,-0.4675821961603393,-0.33428083968199873,-0.27882114508396255,-0.7947275757357647,-0.33293440178716177,-0.7897716388053342,-0.6665578562638108,-0.3015670449489955,1.1233620053930164,3.44255723847933,-0.2605167866416426,-0.835839171585574,0.8629251415218504,-0.3698982162352891,-0.47855290519896604,-0.24087068121994223,-0.277983552540076,-0.2412333521906388,0.8649001655594959,1.7634554027151683,0.2970533842095922,0.9801156739702779,0.6202010899933121,1.1766813732703187,0.40961692226848095,1.583484789908099,-0.36483934571277726,-0.2804105274891837,-0.5944747940815426,1.2616940395592111,2.632790045660776,0.5002843193831672,-0.2612302291518139,0.8200860779404803,-1.371522640271451,-0.5929163558217506,-0.28859615837011354,-0.36085284439182824,0.4593160801677396,0.5716072715292165,-0.7045456430517671,0.12513482134275136,-0.3330065807839024,1.563912218858712
2-3,-0.3146951316200745,-0.5921793865411434,-0.2786014357838281,-0.3172224093480428,-0.4829731286426139,-0.248139676605433,-0.3317067716860712,1.0736398798759945,-0.27920649502921685,-0.2978733721989609,-0.6098175211857817,-0.25887566538354695,0.7621814530880867,1.0527377191617997,0.8819695506945864,-0.26171126421407187,-0.25717011762422254,-0.315615924766411,0.8593502788916147,-0.2807523798257048,-0.4511987265301896,-1.2701405848923653,-0.25929111231139323,-0.33343060359832455,-0.3826523116907066,-0.299336487290174,-0.34850059635230957,1.9352822217391918,-0.24120888364516485,-0.5103576072354102,-0.22976841809730592,-0.6384585215457572,-0.4675821961603393,-0.33428083968199873,-0.27882114508396255,-0.7947275757357647,2.7584544689849313,-0.7897716388053342,1.0584270657801875,-0.3015670449489955,1.028227608838048,-0.25731350500337025,-0.2605167866416426,-0.835839171585574,1.0704974122798676,-0.3698982162352891,-0.47855290519896604,-0.24087068121994223,-0.277983552540076,-0.2412333521906388,0.6948953029239776,1.926971180872703,0.23822242392840434,0.9203486599445724,0.5486388158686355,1.0317914689303604,-1.469104579772562,1.655979615305389,-0.36483934571277726,-0.2804105274891837,-0.5944747940815426,1.3154793238226936,3.2464923508547137,0.6737763406996602,-0.2612302291518139,0.9742169094678719,0.17851302725924462,-0.5929163558217506,-1.4634732990019304,-0.36085284439182824,0.9216407100023273,0.5787431294261027,-0.7045456430517671,0.4041622901929713,-0.3330065807839024,-1.159441389778703
