block,taxon,feature,samples_above_1_percent,training_samples_above_1_percent,all_samples_percent_above_1,training_percent_above_1,domain,included_in_final_matrix
BAC_F,Spirochaetaceae,BAC_F::Spirochaetaceae,81,65,58.69565217391305,59.63302752293578,Bacteria,True
BAC_F,Synergistaceae,BAC_F::Synergistaceae,100,82,72.46376811594203,75.22935779816514,Bacteria,True
BAC_F,Syntrophomonadaceae,BAC_F::Syntrophomonadaceae,84,76,60.869565217391305,69.72477064220183,Bacteria,True
BAC_F,Syntrophorhabdaceae,BAC_F::Syntrophorhabdaceae,39,27,28.26086956521739,24.770642201834864,Bacteria,True
BAC_F,Thermacetogeniaceae,BAC_F::Thermacetogeniaceae,13,13,9.420289855072463,11.926605504587156,Bacteria,True
BAC_F,UCG-010,BAC_F::UCG-010,9,8,6.521739130434782,7.339449541284404,Bacteria,True
BAC_F,W27,BAC_F::W27,35,30,25.36231884057971,27.522935779816514,Bacteria,True
BAC_F,Williamwhitmaniaceae,BAC_F::Williamwhitmaniaceae,45,34,32.608695652173914,31.192660550458715,Bacteria,True
BAC_F,Xanthomonadaceae,BAC_F::Xanthomonadaceae,14,12,10.144927536231885,11.009174311926605,Bacteria,True
BAC_F,unidentified,BAC_F::unidentified,127,100,92.02898550724638,91.74311926605505,Bacteria,True
