fold,block,feature,training_samples_above_1_percent
2,BAC_F,BAC_F::Pedosphaeraceae,9
2,BAC_F,BAC_F::Peptostreptococcales-Tissierellales,36
2,BAC_F,BAC_F::Petrotogaceae,30
2,BAC_F,BAC_F::Prevotellaceae,6
2,BAC_F,BAC_F::Prolixibacteraceae,44
2,BAC_F,BAC_F::Rhodanobacteraceae,7
2,BAC_F,BAC_F::Rhodobacteraceae,7
2,BAC_F,BAC_F::Rhodocyclaceae,40
2,BAC_F,BAC_F::Rikenellaceae,49
2,BAC_F,BAC_F::Ruminococcaceae,11
2,BAC_F,BAC_F::SBR1031,21
2,BAC_F,BAC_F::SC-I-84,5
2,BAC_F,BAC_F::SJA-15,5
2,BAC_F,BAC_F::SJA-28,5
2,BAC_F,BAC_F::ST-12K33,46
2,BAC_F,BAC_F::Saprospiraceae,22
2,BAC_F,BAC_F::Sedimentibacteraceae,66
2,BAC_F,BAC_F::Smithellaceae,44
2,BAC_F,BAC_F::Spirochaetaceae,55
2,BAC_F,BAC_F::Synergistaceae,71
2,BAC_F,BAC_F::Syntrophomonadaceae,63
2,BAC_F,BAC_F::Syntrophorhabdaceae,23
2,BAC_F,BAC_F::Thermacetogeniaceae,13
2,BAC_F,BAC_F::UCG-010,8
2,BAC_F,BAC_F::W27,24
2,BAC_F,BAC_F::WCHB1-02,5
2,BAC_F,BAC_F::Williamwhitmaniaceae,33
2,BAC_F,BAC_F::Xanthomonadaceae,10
2,BAC_F,BAC_F::unidentified,84
2,ARC_F,ARC_F::Bathyarchaeia,6
2,ARC_F,ARC_F::Methanofastidiosaceae,66
2,ARC_F,ARC_F::Methanomassiliicoccaceae,63
2,ARC_F,ARC_F::Methanomethylophilaceae,26
2,ARC_F,ARC_F::Methanomicrobiaceae,70
2,ARC_F,ARC_F::Methanomicrobiales,11
2,ARC_F,ARC_F::Methanoregulaceae,61
2,ARC_F,ARC_F::Methanosaetaceae,82
2,ARC_F,ARC_F::Methanosarcinaceae,28
2,ARC_F,ARC_F::Methanospirillaceae,73
2,ARC_F,ARC_F::SCGC_AAA011-D5,7
2,ARC_F,ARC_F::unidentified,54
3,BAC_F,BAC_F::009E01-B-SD-P15,10
3,BAC_F,BAC_F::Acholeplasmataceae,23
3,BAC_F,BAC_F::Aminicenantales,8
3,BAC_F,BAC_F::Anaerolineaceae,9
3,BAC_F,BAC_F::Anaerovoracaceae,16
3,BAC_F,BAC_F::Atopobiaceae,6
3,BAC_F,BAC_F::Bacteroidetes_vadinHA17,45
3,BAC_F,BAC_F::Brachyspirales_Incertae_Sedis,8
3,BAC_F,BAC_F::Caldatribacteriaceae,8
3,BAC_F,BAC_F::Caldicoprobacteraceae,25
3,BAC_F,BAC_F::Chitinophagaceae,7
3,BAC_F,BAC_F::Christensenellaceae,57
3,BAC_F,BAC_F::Cloacimonadaceae,53
3,BAC_F,BAC_F::Comamonadaceae,50
3,BAC_F,BAC_F::Coprothermobacteraceae,7
3,BAC_F,BAC_F::D8A-2,9
3,BAC_F,BAC_F::DTU014,62
3,BAC_F,BAC_F::Dethiobacteraceae,12
3,BAC_F,BAC_F::Dysgonomonadaceae,53
3,BAC_F,BAC_F::Gracilibacteraceae,8
