SampleID,F00000,F00001,F00002,F00003,F00004,F00005,F00006,F00007,F00008,F00009,F00010,F00011,F00012,F00013,F00014,F00015,F00016,F00017,F00018,F00019,F00020,F00021,F00022,F00023,F00024,F00025,F00026,F00027,F00028,F00029,F00030,F00031,F00032,F00033,F00034,Group
1-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,1610.0,37.0,0.0,0.0,0.0,40.0,37.0,0.0,0.0,0.0,59.0,0.0,0.0,28.0,0.0,39.0,24.0,0.0,0.0,0.0,Warning
1-28,7.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,30.0,0.0,19.0,0.0,62.0,0.0,0.0,3543.0,24.0,0.0,0.0,0.0,2774.0,4796.0,102.0,43.0,0.0,340.0,0.0,0.0,454.0,121.0,101.0,69.0,0.0,0.0,0.0,Warning
1-29,356.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,29.0,0.0,0.0,0.0,25.0,212.0,0.0,195.0,3219.0,18.0,79.0,0.0,1627.0,1495.0,71.0,16.0,88.0,0.0,88.0,53.0,1978.0,49.0,47.0,35.0,0.0,0.0,65.0,Normal
1-3,8828.0,68.0,0.0,1.0,0.0,0.0,0.0,0.0,201.0,24.0,0.0,0.0,253.0,1276.0,0.0,788.0,1730.0,454.0,0.0,11.0,3488.0,3766.0,80.0,111.0,0.0,85.0,102.0,208.0,7946.0,576.0,354.0,369.0,0.0,0.0,145.0,Normal
1-30,0.0,0.0,13.0,0.0,0.0,0.0,14.0,0.0,36.0,0.0,0.0,0.0,35.0,0.0,0.0,76.0,4292.0,43.0,705.0,35.0,996.0,1901.0,14.0,73.0,15.0,0.0,470.0,12.0,3211.0,92.0,70.0,39.0,0.0,0.0,0.0,Normal
1-31,9.0,18.0,1.0,0.0,11.0,0.0,13.0,126.0,86.0,0.0,0.0,0.0,97.0,14.0,0.0,4552.0,50.0,0.0,0.0,0.0,339.0,407.0,6.0,25913.0,0.0,0.0,427.0,0.0,49.0,219.0,170.0,163.0,0.0,0.0,146.0,Warning
1-32,10.0,34.0,15.0,9.0,9.0,9.0,51.0,6.0,105.0,0.0,0.0,26.0,131.0,2771.0,0.0,701.0,4502.0,137.0,77.0,92.0,11673.0,6340.0,43.0,94.0,20.0,0.0,2080.0,163.0,5998.0,239.0,214.0,148.0,0.0,0.0,32.0,Normal
1-33,518.0,0.0,0.0,30.0,7254.0,131.0,5522.0,4.0,142.0,48.0,0.0,37.0,182.0,2784.0,51.0,152.0,2996.0,68.0,10.0,60.0,1016.0,7211.0,64.0,77.0,577.0,0.0,274.0,400.0,748.0,380.0,271.0,219.0,10.0,2.0,0.0,Normal
1-34,1867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,58.0,0.0,0.0,4233.0,37.0,0.0,0.0,0.0,3485.0,11305.0,76.0,47.0,0.0,78.0,74.0,0.0,2738.0,129.0,115.0,67.0,0.0,0.0,35.0,Normal
1-3b,6900.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,4.0,0.0,0.0,86.0,2692.0,0.0,449.0,2884.0,378.0,0.0,0.0,4467.0,1746.0,43.0,68.0,144.0,0.0,236.0,179.0,9139.0,269.0,169.0,151.0,0.0,25.0,108.0,Normal
1-4,42.0,12.0,0.0,5.0,0.0,0.0,63.0,0.0,16.0,0.0,0.0,0.0,25.0,389.0,0.0,272.0,23.0,87.0,49.0,104.0,2039.0,3602.0,123.0,28.0,170.0,0.0,355.0,38.0,2124.0,68.0,48.0,34.0,5.0,2.0,67.0,Normal
1-5,1258.0,19.0,0.0,43.0,0.0,12.0,4323.0,0.0,94.0,0.0,0.0,21.0,135.0,388.0,39.0,429.0,138.0,397.0,420.0,187.0,5686.0,8765.0,365.0,155.0,414.0,0.0,687.0,246.0,10124.0,291.0,217.0,178.0,0.0,4.0,298.0,Normal
1-6,15.0,19.0,0.0,2.0,0.0,0.0,21.0,8.0,92.0,0.0,36.0,0.0,123.0,0.0,0.0,10419.0,18.0,60.0,44.0,62.0,2453.0,4147.0,66.0,175.0,44.0,77.0,179.0,69.0,5898.0,229.0,193.0,191.0,0.0,0.0,69.0,Warning
