SampleID,F00000,F00001,F00002,F00003,F00004,F00005,F00006,F00007,F00008,F00009,F00010,F00011,F00012,F00013,F00014,F00015,F00016,F00017,F00018,F00019,F00020,F00021,F00022,F00023,F00024,F00025,F00026,F00027,F00028,F00029,F00030,F00031,F00032,F00033,F00034,Group
3-2,3381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3511.0,0.0,0.0,0.0,0.0,0.0,0.0,1111.0,157.0,224.0,0.0,35.0,0.0,117.0,66.0,1307.0,0.0,0.0,0.0,0.0,0.0,72.0,Normal
3-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,19.0,0.0,0.0,3689.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,869.0,0.0,0.0,0.0,0.0,0.0,72.0,50.0,49.0,0.0,0.0,0.0,Normal
3-21,0.0,0.0,0.0,12.0,0.0,0.0,1920.0,1.0,71.0,0.0,0.0,0.0,154.0,59.0,0.0,0.0,107.0,182.0,18.0,66.0,719.0,4750.0,0.0,0.0,57.0,0.0,0.0,0.0,1900.0,257.0,175.0,203.0,0.0,0.0,0.0,Normal
3-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1233.0,0.0,0.0,0.0,1593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3123.0,1094.0,0.0,55.0,0.0,0.0,0.0,0.0,52.0,3681.0,2263.0,2548.0,0.0,0.0,0.0,Normal
3-23,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1126.0,881.0,0.0,27.0,0.0,2613.0,3787.0,149.0,0.0,137.0,0.0,285.0,0.0,2732.0,60.0,43.0,0.0,0.0,0.0,77.0,Normal
3-24,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,55.0,0.0,0.0,0.0,107.0,2716.0,5.0,0.0,0.0,10.0,0.0,0.0,1090.0,1207.0,0.0,0.0,0.0,0.0,54.0,14.0,1112.0,179.0,127.0,136.0,0.0,0.0,0.0,Normal
3-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,284.0,4067.0,0.0,0.0,0.0,238.0,888.0,0.0,0.0,0.0,0.0,298.0,0.0,2147.0,45.0,0.0,0.0,0.0,0.0,0.0,Normal
3-26,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,13.0,0.0,0.0,2938.0,503.0,461.0,0.0,0.0,1821.0,641.0,0.0,371.0,0.0,0.0,0.0,0.0,168.0,59.0,53.0,0.0,0.0,0.0,0.0,Normal
3-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,389.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,Normal
3-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,974.0,0.0,0.0,0.0,0.0,2182.0,7059.0,123.0,23.0,0.0,274.0,0.0,0.0,1715.0,0.0,0.0,0.0,0.0,0.0,0.0,Warning
3-29,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1358.0,0.0,126.0,3969.0,0.0,0.0,0.0,1806.0,1736.0,121.0,0.0,103.0,0.0,86.0,48.0,1693.0,0.0,0.0,0.0,0.0,0.0,137.0,Normal
3-3,3660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,110.0,823.0,0.0,199.0,1285.0,74.0,0.0,0.0,1752.0,712.0,26.0,0.0,128.0,0.0,0.0,65.0,3066.0,201.0,90.0,129.0,0.0,15.0,27.0,Normal
3-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,9575.0,50.0,36.0,0.0,569.0,495.0,15.0,44.0,0.0,0.0,416.0,0.0,1853.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
3-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5638.0,0.0,0.0,0.0,0.0,316.0,102.0,0.0,3100.0,0.0,80.0,709.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Warning
3-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1670.0,0.0,89.0,1399.0,0.0,22.0,0.0,1679.0,1978.0,0.0,0.0,0.0,0.0,328.0,5.0,1345.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
3-32',75.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,25.0,239.0,0.0,60.0,0.0,0.0,514.0,0.0,0.0,0.0,0.0,4251.0,421.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,24.0,19.0,0.0,0.0,Normal
3-33,500.0,0.0,0.0,0.0,557.0,31.0,2511.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.0,0.0,0.0,1204.0,11.0,0.0,17.0,354.0,3022.0,11.0,0.0,221.0,0.0,107.0,61.0,128.0,14.0,0.0,0.0,4.0,0.0,0.0,Normal
3-34,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,394.0,0.0,0.0,0.0,0.0,293.0,5244.0,48.0,0.0,0.0,0.0,0.0,0.0,1715.0,0.0,22.0,0.0,0.0,0.0,65.0,Normal
3-4,49.0,0.0,0.0,10.0,0.0,8.0,646.0,0.0,0.0,0.0,0.0,15.0,0.0,1399.0,0.0,291.0,25.0,18.0,1267.0,86.0,5737.0,9712.0,105.0,15.0,81.0,0.0,675.0,75.0,4964.0,11.0,0.0,0.0,4.0,0.0,14.0,Normal
3-5,650.0,0.0,0.0,0.0,22.0,49.0,1094.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,0.0,200.0,282.0,15.0,60.0,0.0,1359.0,1869.0,34.0,0.0,114.0,0.0,139.0,58.0,2465.0,14.0,0.0,0.0,11.0,0.0,102.0,Normal
3-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,26.0,25.0,13.0,0.0,0.0,0.0,0.0,1320.0,0.0,0.0,0.0,0.0,705.0,1775.0,20.0,0.0,0.0,0.0,104.0,67.0,1356.0,57.0,13.0,35.0,0.0,0.0,34.0,Normal
3-7,0.0,0.0,0.0,6.0,0.0,316.0,1121.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,0.0,0.0,0.0,0.0,283.0,0.0,1487.0,2843.0,0.0,0.0,63.0,0.0,127.0,81.0,1893.0,32.0,0.0,0.0,34.0,0.0,0.0,Normal
3-8,0.0,0.0,0.0,0.0,0.0,0.0,762.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,90.0,0.0,0.0,320.0,0.0,1711.0,1785.0,11.0,0.0,44.0,0.0,149.0,0.0,1124.0,32.0,0.0,0.0,0.0,0.0,34.0,Normal
3-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1746.0,0.0,0.0,0.0,2195.0,0.0,0.0,2369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.0,0.0,11.0,5330.0,2426.0,3233.0,0.0,0.0,0.0,Warning
4-1,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14580.0,76.0,0.0,0.0,0.0,0.0,81.0,0.0,10559.0,0.0,0.0,104.0,0.0,0.0,51.0,30.0,0.0,0.0,0.0,0.0,Normal
4-10,319.0,0.0,25.0,0.0,0.0,3.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691.0,7087.0,507.0,99.0,71.0,1337.0,4439.0,6.0,300.0,186.0,0.0,198.0,0.0,1246.0,51.0,24.0,0.0,0.0,0.0,0.0,Normal
4-11,179.0,0.0,0.0,0.0,0.0,159.0,2455.0,0.0,0.0,0.0,0.0,0.0,0.0,866.0,50.0,169.0,3773.0,39.0,0.0,77.0,2510.0,4045.0,0.0,0.0,0.0,0.0,114.0,66.0,565.0,11.0,0.0,0.0,29.0,0.0,0.0,Normal
4-12,0.0,0.0,13.0,0.0,0.0,0.0,34.0,534.0,0.0,0.0,611.0,0.0,0.0,0.0,0.0,2480.0,59.0,0.0,0.0,0.0,3120.0,10186.0,2.0,834.0,0.0,1065.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,Warning
4-13,0.0,0.0,0.0,0.0,134.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,539.0,0.0,1168.0,20.0,0.0,0.0,0.0,3801.0,206.0,41.0,0.0,0.0,0.0,0.0,133.0,964.0,0.0,0.0,0.0,0.0,52.0,4.0,Normal
4-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8729.0,0.0,0.0,0.0,0.0,95.0,225.0,0.0,0.0,0.0,432.0,70.0,0.0,27.0,6.0,0.0,0.0,0.0,0.0,0.0,Warning
4-15,0.0,0.0,8.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,1727.0,75.0,0.0,0.0,2124.0,7198.0,0.0,0.0,0.0,0.0,224.0,0.0,1909.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
4-16,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,4773.0,0.0,39.0,0.0,3452.0,5477.0,0.0,0.0,0.0,0.0,0.0,0.0,1569.0,0.0,0.0,9.0,0.0,0.0,0.0,Normal
4-17,52.0,0.0,9.0,0.0,0.0,0.0,46.0,111.0,11.0,51.0,90.0,0.0,0.0,0.0,0.0,937.0,132.0,230.0,0.0,0.0,7738.0,10389.0,0.0,294.0,0.0,0.0,0.0,89.0,3444.0,0.0,0.0,0.0,0.0,0.0,15.0,Normal
4-18,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1988.0,239.0,496.0,0.0,0.0,3904.0,9655.0,0.0,0.0,176.0,0.0,217.0,185.0,1746.0,0.0,0.0,0.0,0.0,0.0,113.0,Normal
4-2,12999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10345.0,0.0,6.0,0.0,0.0,0.0,0.0,985.0,297.0,79.0,0.0,0.0,0.0,0.0,47.0,2369.0,0.0,0.0,0.0,0.0,24.0,14.0,Normal
4-21,67.0,0.0,0.0,0.0,0.0,0.0,7951.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,62.0,261.0,510.0,46.0,0.0,3600.0,6751.0,0.0,0.0,150.0,0.0,100.0,0.0,3970.0,33.0,0.0,0.0,0.0,0.0,0.0,Normal
4-22,18.0,0.0,7.0,0.0,0.0,0.0,43.0,150.0,0.0,8.0,101.0,0.0,0.0,0.0,0.0,253.0,41.0,0.0,0.0,14.0,11315.0,1059.0,8.0,3467.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
4-23,353.0,0.0,8.0,0.0,8.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,10.0,289.0,424.0,18.0,0.0,0.0,2178.0,7997.0,37.0,0.0,0.0,0.0,0.0,0.0,1591.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
4-25,38.0,0.0,13.0,0.0,0.0,0.0,27.0,5.0,0.0,20.0,0.0,2.0,0.0,0.0,0.0,1043.0,7448.0,0.0,0.0,0.0,500.0,3846.0,0.0,0.0,0.0,0.0,519.0,0.0,3966.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
4-26,54.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4131.0,237.0,466.0,0.0,45.0,4236.0,1055.0,0.0,625.0,0.0,0.0,0.0,0.0,107.0,14.0,0.0,0.0,0.0,0.0,0.0,Normal
4-27,53.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11156.0,0.0,0.0,0.0,0.0,103.0,193.0,0.0,0.0,0.0,495.0,984.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,Warning
4-28,18.0,0.0,9.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047.0,60.0,0.0,0.0,0.0,3197.0,6265.0,128.0,27.0,0.0,0.0,0.0,0.0,483.0,20.0,0.0,0.0,0.0,0.0,0.0,Warning
4-29,115.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,673.0,0.0,52.0,4876.0,0.0,0.0,0.0,1511.0,2672.0,62.0,0.0,0.0,0.0,83.0,0.0,2248.0,0.0,0.0,0.0,0.0,0.0,50.0,Normal
4-3,3053.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280.0,0.0,119.0,3959.0,105.0,0.0,0.0,3045.0,1223.0,12.0,23.0,0.0,0.0,69.0,47.0,4273.0,29.0,24.0,0.0,0.0,0.0,36.0,Normal
4-30,0.0,0.0,67.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,8202.0,3.0,0.0,0.0,1168.0,1627.0,31.0,0.0,0.0,0.0,631.0,0.0,3035.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
4-31,10.0,0.0,6.0,0.0,0.0,0.0,21.0,14.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,4210.0,89.0,0.0,0.0,0.0,115.0,178.0,0.0,6948.0,0.0,1208.0,616.0,0.0,40.0,9.0,0.0,4.0,0.0,0.0,0.0,Warning
4-32,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1478.0,0.0,228.0,3678.0,155.0,0.0,0.0,3532.0,3552.0,10.0,19.0,0.0,0.0,870.0,0.0,3212.0,0.0,0.0,0.0,0.0,1.0,0.0,Normal
4-32',804.0,0.0,7.0,0.0,0.0,0.0,48.0,0.0,0.0,59.0,91.0,0.0,0.0,182.0,0.0,226.0,506.0,0.0,0.0,0.0,6708.0,1217.0,0.0,87.0,0.0,86.0,0.0,45.0,481.0,48.0,0.0,0.0,0.0,0.0,0.0,Normal
4-33,626.0,0.0,0.0,0.0,120.0,0.0,5787.0,0.0,0.0,0.0,0.0,0.0,0.0,818.0,0.0,0.0,574.0,0.0,0.0,0.0,966.0,2488.0,0.0,0.0,122.0,0.0,160.0,52.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
4-34,557.0,0.0,2.0,0.0,0.0,0.0,30.0,6.0,0.0,0.0,383.0,0.0,0.0,0.0,0.0,3514.0,53.0,0.0,0.0,0.0,1509.0,6743.0,584.0,31.0,0.0,0.0,0.0,6.0,1738.0,0.0,0.0,0.0,0.0,0.0,246.0,Normal
4-4,80.0,0.0,0.0,9.0,0.0,0.0,738.0,0.0,0.0,0.0,0.0,0.0,0.0,4690.0,0.0,91.0,172.0,86.0,539.0,60.0,3824.0,4711.0,42.0,0.0,66.0,0.0,593.0,67.0,4643.0,26.0,0.0,0.0,0.0,2.0,10.0,Normal
4-5,813.0,0.0,39.0,0.0,16.0,0.0,4582.0,0.0,0.0,0.0,0.0,0.0,0.0,881.0,0.0,328.0,441.0,0.0,2018.0,0.0,3314.0,5408.0,11.0,0.0,289.0,0.0,0.0,140.0,5302.0,0.0,0.0,15.0,3.0,5.0,0.0,Normal
4-6,75.0,0.0,7.0,0.0,0.0,0.0,44.0,18.0,0.0,47.0,0.0,0.0,0.0,47.0,0.0,7217.0,82.0,0.0,0.0,0.0,762.0,5620.0,46.0,182.0,0.0,0.0,99.0,87.0,4575.0,35.0,15.0,0.0,0.0,0.0,0.0,Normal
4-7,34.0,0.0,0.0,0.0,0.0,0.0,3817.0,0.0,0.0,0.0,0.0,0.0,0.0,824.0,0.0,81.0,675.0,293.0,590.0,0.0,3050.0,4250.0,0.0,0.0,66.0,0.0,128.0,0.0,5078.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
4-8,39.0,0.0,0.0,0.0,13.0,22.0,5210.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,34.0,217.0,123.0,20.0,93.0,0.0,5077.0,5226.0,0.0,0.0,0.0,0.0,0.0,75.0,3925.0,30.0,0.0,0.0,7.0,0.0,0.0,Normal
4-9,597.0,0.0,13.0,0.0,0.0,0.0,53.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,14608.0,233.0,0.0,0.0,0.0,114.0,1196.0,0.0,0.0,0.0,1305.0,19.0,47.0,389.0,0.0,0.0,38.0,0.0,0.0,8.0,Normal
