model,target,rank,feature,category,importance_mean,fold_sd,evaluable_folds,selected_folds,positive_folds,top10_folds,top20_folds,mean_fold_rank,mean_permutation_sd,top10_frequency,positive_frequency
KNN,warning_ammonia_toxicity,32.0,ARC_G::Methanolinea,Archaea,0.0006666666666666687,0.0014907119849998643,5,5,1,0,1,111.2,0.001437454974292732,0.0,0.2
KNN,warning_ammonia_toxicity,33.0,BAC_P::Actinobacteriota,Bacteria,0.0006380952380952356,0.019228732693491065,5,5,1,0,1,156.7,0.015460159425793502,0.0,0.2
KNN,warning_ammonia_toxicity,34.0,BAC_G::Syner-01,Bacteria,0.0005999999999999972,0.0013416407864998677,5,5,1,0,0,115.6,0.0014653901941300861,0.0,0.2
KNN,warning_ammonia_toxicity,35.0,BAC_G::Ruminiclostridium,Bacteria,0.0005952380952380947,0.0013309928437498738,5,5,1,0,0,115.9,0.004173624695134293,0.0,0.2
KNN,warning_ammonia_toxicity,36.0,BAC_G::SBR1031,Bacteria,0.00047777777777777803,0.0006685159536218377,5,5,2,0,1,92.5,0.0017494091510708771,0.0,0.4
KNN,warning_ammonia_toxicity,36.0,BAC_P::Chloroflexi,Bacteria,0.00047777777777777803,0.0006685159536218377,5,5,2,0,1,92.5,0.0017494091510708771,0.0,0.4
KNN,warning_ammonia_toxicity,38.0,BAC_G::Exilispira,Bacteria,0.0003999999999999981,0.0008944271909999117,5,5,1,0,0,116.5,0.0012311740225021792,0.0,0.2
KNN,warning_ammonia_toxicity,38.0,BAC_G::LD1-PA32,Bacteria,0.0003999999999999981,0.0008944271909999117,5,5,1,0,0,116.5,0.0012311740225021792,0.0,0.2
KNN,warning_ammonia_toxicity,40.0,ARC_G::Candidatus_Methanogranum,Archaea,0.0003571428571428559,0.0007985957062499221,5,5,1,0,0,118.0,0.0010992625200912326,0.0,0.2
KNN,warning_ammonia_toxicity,41.0,BAC_P::Proteobacteria,Bacteria,0.000277777777777779,0.0006211299937499443,5,5,1,0,1,112.9,0.0008549819600709655,0.0,0.2
