model,target,rank,feature,category,importance_mean,fold_sd,evaluable_folds,selected_folds,positive_folds,top10_folds,top20_folds,mean_fold_rank,mean_permutation_sd,top10_frequency,positive_frequency
KNN,warning_buffer_capacity,36.0,BAC_G::Acholeplasma,Bacteria,0.004166666666666666,0.009316949906249122,5,5,1,0,0,118.4,0.007404360971988652,0.0,0.2
KNN,warning_buffer_capacity,37.0,substrate_avg_pH,Metadata: substrate,0.0037532679738562164,0.007704195516837858,5,5,2,0,0,93.2,0.009010954375398946,0.0,0.4
KNN,warning_buffer_capacity,38.0,BAC_G::W5,Bacteria,0.003749999999999999,0.00838525491562421,5,5,1,0,0,118.6,0.007870943678236104,0.0,0.2
KNN,warning_buffer_capacity,39.0,BAC_G::Sphaerochaeta,Bacteria,0.0036666666666666666,0.008198915917499229,5,5,1,0,0,118.8,0.007639540110465762,0.0,0.2
KNN,warning_buffer_capacity,40.0,BAC_G::MBA03,Bacteria,0.0033333333333333327,0.007453559924999298,5,5,1,0,0,119.4,0.006839855680567691,0.0,0.2
KNN,warning_buffer_capacity,40.0,substrate_avg_HAc,Metadata: substrate,0.0033333333333333327,0.007453559924999298,5,5,1,0,0,119.4,0.006839855680567691,0.0,0.2
KNN,warning_buffer_capacity,42.0,BAC_G::Caldicoprobacter,Bacteria,0.0030024509803921557,0.007672048237216151,5,5,1,0,0,143.6,0.0072151628758133106,0.0,0.2
KNN,warning_buffer_capacity,43.0,BAC_G::ST-12K33,Bacteria,0.002999999999999999,0.006708203932499368,5,5,1,0,0,119.8,0.009964850506356582,0.0,0.2
KNN,warning_buffer_capacity,44.0,BAC_G::Syntrophomonas,Bacteria,0.0028333333333333357,0.0063355259362494094,5,5,1,0,0,120.0,0.010388646524364331,0.0,0.2
KNN,warning_buffer_capacity,45.0,BAC_G::W27,Bacteria,0.002833333333333333,0.006335525936249403,5,5,1,0,0,120.2,0.006143983887649437,0.0,0.2
KNN,warning_buffer_capacity,46.0,BAC_P::Firmicutes,Bacteria,0.0024999999999999996,0.005590169943749473,5,5,1,0,0,120.5,0.006105792475542052,0.0,0.2
KNN,warning_buffer_capacity,47.0,ARC_G::Methanosphaerula,Archaea,0.002290849673202615,0.003969283521080969,5,5,2,0,1,93.4,0.007600246665675939,0.0,0.4
KNN,warning_buffer_capacity,48.0,BAC_P::Synergistota,Bacteria,0.002232026143790851,0.004810358721278762,5,5,2,0,0,97.0,0.010533373635323483,0.0,0.4
KNN,warning_buffer_capacity,49.0,BAC_G::Guggenheimella,Bacteria,0.0021666666666666683,0.004844813951249549,5,5,1,0,0,120.8,0.005543554288725494,0.0,0.2
KNN,warning_buffer_capacity,50.0,BAC_G::Lentimicrobiaceae,Bacteria,0.0019485294117647053,0.006018080277373631,5,5,1,0,0,145.1,0.006432455459600377,0.0,0.2
KNN,warning_buffer_capacity,51.0,BAC_G::Syntrophorhabdus,Bacteria,0.0017222222222222246,0.002593915006650838,5,5,2,1,1,92.9,0.024621273868795587,0.2,0.4
KNN,warning_buffer_capacity,52.0,BAC_G::Anaerofustis,Bacteria,0.0016666666666666663,0.003726779962499649,5,5,1,0,0,121.6,0.005129891760425769,0.0,0.2
KNN,warning_buffer_capacity,52.0,BAC_G::Butyrivibrio,Bacteria,0.0016666666666666663,0.003726779962499649,5,5,1,0,0,121.6,0.00512989176042577,0.0,0.2
KNN,warning_buffer_capacity,52.0,BAC_G::DMER64,Bacteria,0.0016666666666666663,0.003726779962499649,5,5,1,0,0,121.6,0.005129891760425769,0.0,0.2
