target,TN,FP,FN,TP
warning_acid_base_balance,81,13,7,8
warning_buffer_capacity,90,11,8,0
warning_acid_accumulation,102,4,3,0
warning_ammonia_toxicity,73,14,11,11
warning_biogas_quality,97,7,3,2
