domain,model,macro_mcc,macro_mcc_lo,macro_mcc_hi,macro_f2,macro_f2_lo,macro_f2_hi,macro_auprc,macro_auprc_lift
ARC,RF,0.1276018971942172,0.0588769797247669,0.1915792745944907,0.319837983572565,0.2823504661066344,0.3713561837127608,0.2093250467358695,2.174012543309661
ARC,CNN,0.0515118038204637,0.0272541055775496,0.0767127952309222,0.2658976521326317,0.1870788818406179,0.3571242018013337,0.1588892737774007,1.5856279086988487
ARC,PMCNN,0.1499526115391218,0.085996533498715,0.2039239424621229,0.3259315584501475,0.259938406946118,0.3775853129237082,0.1856189714882038,1.6839056192588395
ARC,MetaDR,0.1824959518697023,0.1430707878801168,0.2086524411181036,0.3678787978036079,0.3356307490363894,0.3926718232543935,0.2176558210932256,2.2150303879929947
ARC,DeepPhylo,0.03118867673158,-0.0373841503370116,0.0793228514332085,0.2295542107562444,0.0954508206056844,0.3278009240315305,0.1161691304231575,1.1431223335336589
BAC,RF,0.1826534080136693,0.146675052936855,0.2380664509892636,0.3596465760034728,0.3185345785294485,0.4036436912430663,0.2244718451974595,2.114486437968229
BAC,CNN,0.1830443757812816,0.1723918646697323,0.1916909962785303,0.378124393983058,0.3677327488510389,0.3950024668791947,0.1973321049570449,1.7461418472907546
BAC,PMCNN,0.2373878332563689,0.2024829620064473,0.2698678109547631,0.3889933722942135,0.340656405717982,0.4295073827786015,0.2745303688320791,2.5142904952684133
BAC,MetaDR,0.2211179386487635,0.1536844424031422,0.2654100823732762,0.379259847507664,0.3063023521930965,0.4307637394857065,0.2348459476484739,2.1575814553387462
BAC,DeepPhylo,0.1411159756995073,0.056023464558529,0.231301505316571,0.3237638186007064,0.1885661073152158,0.4157336002112424,0.1753219505418413,1.7195231491028296
merged,RF,0.16074536714732,0.1240280276796252,0.187850643663451,0.3510084462986279,0.2928607616474277,0.3876099322953631,0.2224196210386645,2.168209018401406
merged,CNN,0.1826255777826344,0.1360725481959323,0.216590034145158,0.3340917055059482,0.2861786595845943,0.3860848852777904,0.2408312614175821,2.033925245844437
merged,PMCNN,0.1969750198803446,0.1367678807774416,0.2319440592847061,0.3729946187189853,0.3043970932835261,0.4139590056496811,0.2138719529496751,1.939619980329503
merged,MetaDR,0.1823105657647348,0.1613019888073681,0.1916299405212644,0.3648346599194024,0.3524494345543347,0.3969910683565463,0.234102182103285,1.9658023351984544
merged,DeepPhylo,0.2197138322248114,0.1547109235653098,0.2731940916395353,0.3704100627602963,0.2991259976560948,0.4611954491562006,0.2733567618900647,4.250669122318918
