domain,model,flag,n_pos,prevalence,n_repeats_scored,auprc,auprc_lo,auprc_hi,auprc_lift,auprc_lift_lo,auprc_lift_hi,auroc,auroc_lo,auroc_hi,mcc,mcc_lo,mcc_hi,f2,f2_lo,f2_hi,precision,precision_lo,precision_hi,recall,recall_lo,recall_hi,threshold,threshold_lo,threshold_hi
BAC,CNN,acid_accumulation,4.0,0.02857142857142857,5.0,0.038331116388620044,0.03228602953610394,0.047447103240486545,1.3415890736017018,1.130011033763638,1.660648613417029,0.5088235294117647,0.4792279411764706,0.5363970588235294,0.05266317821919395,0.006871704590098972,0.090696492584374,0.14331060386254835,0.1266032728881026,0.15950387596899224,0.032870852297672365,0.029274816722805626,0.036567345944629376,0.9,0.75,1.0,0.06632061988590801,0.05135979748696987,0.0927902996610457
BAC,CNN,acid_base_balance,21.0,0.15,5.0,0.31191887705475824,0.2747407050862638,0.36459952801445455,2.0794591803650553,1.8316047005750922,2.4306635200963638,0.7070828331332534,0.6272108843537415,0.7511804721888756,0.2791028162155915,0.14330342130691878,0.3984007872044196,0.5544669007218268,0.4655388471177945,0.6474660758792579,0.2654166379316524,0.19910432033719705,0.3275862068965517,0.7714285714285715,0.6285714285714286,0.9,0.43805428770948296,0.3584507619241375,0.49811361763719947
BAC,CNN,ammonia_toxicity,26.0,0.18571428571428572,5.0,0.4842408206916552,0.405145493907423,0.5437800165090222,2.607450572955067,2.1815526595015085,2.9280462427408884,0.8655195681511471,0.8463900134952766,0.8872807017543859,0.5311568052058103,0.5190921621499232,0.5441688835084448,0.7437680889573681,0.7052313883299799,0.7713675213675214,0.47034105424769335,0.432375478927203,0.5225214198286413,0.876923076923077,0.7730769230769231,0.9576923076923077,0.5139744949562466,0.461107069359353,0.5952476791607675
BAC,CNN,biogas_quality,7.0,0.05,5.0,0.07540335486901975,0.05045163412982781,0.09862662898019145,1.5080670973803951,1.009032682596556,1.9725325796038289,0.5525241675617616,0.46476906552094527,0.6348012889366272,0.04073098829658081,-0.015780086093851866,0.08628731696254761,0.20948244212152595,0.17227921498661908,0.24209284028324154,0.05638077369213472,0.04862085086489013,0.06438030560271647,0.8,0.34285714285714286,1.0,0.11905366240128705,0.004694315154243485,0.35258400874760876
BAC,CNN,buffer_capacity,9.0,0.06428571428571428,5.0,0.07676635578117133,0.06407540938879634,0.08770126868665823,1.1941433121515541,0.9967285904923877,1.3642419573480171,0.5155216284987277,0.4495335029686174,0.5826123833757421,0.011568090969231781,-0.1601892344841389,0.1286303400463485,0.2395939342520211,0.14949640287769783,0.3036792181661397,0.0638473357727658,0.04056943383876949,0.08052014278429373,0.7777777777777777,0.45555555555555555,1.0,0.18103226194635558,0.02972767528268186,0.25910795732943254
BAC,CNN,MACRO,,,5.0,0.19733210495704492,0.18208515025673402,0.20792783794860886,1.7461418472907546,1.6721358317288046,1.8490522514026504,0.6298943453513309,0.6068022698514974,0.6557907202346898,0.18304437578128166,0.17239186466973236,0.19169099627853034,0.378124393983058,0.3677327488510389,0.39500246687919477,0.17777133078838375,0.16109762826271945,0.19590743334076283,0.8252258852258851,0.7036568986568986,0.9208241758241759,,,
