domain,model,flag,n_pos,prevalence,n_repeats_scored,auprc,auprc_lo,auprc_hi,auprc_lift,auprc_lift_lo,auprc_lift_hi,auroc,auroc_lo,auroc_hi,mcc,mcc_lo,mcc_hi,f2,f2_lo,f2_hi,precision,precision_lo,precision_hi,recall,recall_lo,recall_hi,threshold,threshold_lo,threshold_hi
ARC,CNN,acid_accumulation,4.0,0.028985507246376812,5.0,0.06235612728920986,0.027803274233331392,0.16212445508567275,2.1512863914777403,0.959212961049933,5.5932937004557095,0.5462686567164179,0.38041044776119404,0.8632462686567164,0.09238861645265244,-0.011406424561941308,0.262705591364886,0.18370199096005546,0.09431818181818181,0.3504273504273504,0.0472782669629986,0.02596153846153846,0.09869723814486711,0.8,0.3,1.0,0.33129563966258685,0.27347773537414155,0.375850877329782
ARC,CNN,acid_base_balance,20.0,0.14492753623188406,5.0,0.3588973067264832,0.26348980727674404,0.4235167321704927,2.476391416412734,1.8180796702095339,2.9222654519763998,0.7435593220338983,0.7079237288135594,0.7717796610169492,0.22850963054304735,0.2046455425452634,0.27620688497089574,0.4111370002971094,0.23002496878901374,0.5240514905149052,0.31560461340221074,0.20287456445993032,0.49444444444444446,0.5800000000000001,0.20500000000000002,0.85,0.5025435019572775,0.4976361174728703,0.5089587621769713
ARC,CNN,ammonia_toxicity,26.0,0.18840579710144928,5.0,0.2597961068497128,0.24552510064067826,0.2946894424036829,1.3789177978946294,1.3031716880159077,1.564120886604163,0.610989010989011,0.5741414835164835,0.6476648351648352,0.017842209931255466,-0.060023786797698396,0.10806640937630864,0.3624249345496681,0.0684161866154612,0.5237298266586969,0.20973165618448636,0.17685185185185184,0.2727547169811321,0.5692307692307692,0.06153846153846154,0.95,0.5012412608394671,0.47389740399769203,0.5178338029762009
ARC,CNN,biogas_quality,7.0,0.050724637681159424,5.0,0.041724392053667014,0.037873545942776234,0.04788488030797807,0.8225665862008638,0.746649905729017,0.9440162117858534,0.34307524536532175,0.2813522355507088,0.43576881134133033,-0.045830621757472226,-0.1583086536178195,0.07270836266317625,0.17499724632488906,0.06525967710562147,0.2285783055198973,0.042945621877248465,0.01762363093262529,0.05595351043643264,0.7714285714285715,0.21428571428571427,1.0,0.3398103264502844,0.19910285654536744,0.45241667238327127
ARC,CNN,buffer_capacity,9.0,0.06521739130434782,5.0,0.071672435967931,0.05645921011345875,0.09947088713354026,1.0989773515082752,0.8657078884063676,1.5252202693809505,0.40602928509905245,0.35469422911283377,0.441860465116279,-0.03535081606716417,-0.11638375583687788,-0.004390790621560775,0.19722708853143636,0.1043956043956044,0.24829384249674105,0.0616095238095238,0.056249999999999994,0.06394920634920635,0.6,0.13333333333333333,0.8888888888888888,0.4164399817529037,0.3662867938474794,0.4709431545893151
ARC,CNN,MACRO,,,5.0,0.15888927377740075,0.13956085021475617,0.19648267261500388,1.5856279086988487,1.299458286305251,2.360484632718133,0.5299843040407403,0.4850043774186233,0.6050366397440395,0.05151180382046379,0.02725410557754964,0.07671279523092227,0.2658976521326317,0.18707888184061794,0.3571242018013337,0.1354339364472936,0.10687851330126831,0.1650688500655294,0.6641318681318682,0.47672283272283267,0.8505738705738707,,,
