Feature,Repeat,Multilabel MCC drop,Micro-AUPR drop
BAC_P::Armatimonadota,3,0.0,0.00027411199550347876
BAC_P::Armatimonadota,4,0.0,0.0011719778086152766
BAC_P::Armatimonadota,5,0.0,-0.0008726340243818687
BAC_P::Armatimonadota,6,0.0,-0.0009660747411912585
BAC_P::Armatimonadota,7,0.0,-0.0010163783507375346
BAC_P::Armatimonadota,8,0.0,-0.0017540968229730614
BAC_P::Armatimonadota,9,0.0,-0.002913392474642562
BAC_P::Armatimonadota,10,0.0,0.0029712352976898337
BAC_P::Armatimonadota,11,0.0,0.0017902749601650947
BAC_P::Armatimonadota,12,0.0,-0.0007115218576956295
BAC_P::Armatimonadota,13,0.0,0.0013907309178711746
BAC_P::Armatimonadota,14,0.0,-0.0024965959804543747
BAC_P::Armatimonadota,15,0.0,-0.00048626771411947045
BAC_P::Armatimonadota,16,0.0,0.0019159942545415865
BAC_P::Armatimonadota,17,0.0,-0.0025648452279257716
BAC_P::Armatimonadota,18,0.0,0.001322363212897304
BAC_P::Armatimonadota,19,0.0,-0.00020750085877691005
BAC_P::Armatimonadota,20,0.0,0.0015613217308855787
BAC_P::Armatimonadota,21,0.0,0.001967753988305121
BAC_P::Armatimonadota,22,0.0,-0.001412072055736291
BAC_P::Armatimonadota,23,0.0,-0.0031644066923656733
BAC_P::Armatimonadota,24,0.0,-0.001488666142967332
BAC_P::Armatimonadota,25,0.0,-0.001034482608669507
BAC_P::Armatimonadota,26,0.0,-0.003138851281459354
BAC_P::Armatimonadota,27,0.0,0.0018479188903979815
BAC_P::Armatimonadota,28,0.0,-0.0004874896392997319
BAC_P::Armatimonadota,29,0.0,0.00040248871828191257
BAC_P::Armatimonadota,30,0.0,0.00308380480690279
BAC_P::Bacteroidota,1,-0.005152513601438313,-0.0006929047392196241
BAC_P::Bacteroidota,2,0.01421537249116317,-0.004686247378490271
BAC_P::Bacteroidota,3,0.019235943416908985,-0.0007547732667801954
BAC_P::Bacteroidota,4,-0.005152513601438313,0.0017232995431343823
BAC_P::Bacteroidota,5,0.005046084383587002,-0.0007238043471791689
BAC_P::Bacteroidota,6,0.005046084383587002,-0.004111334906147401
BAC_P::Bacteroidota,7,0.005046084383587002,-0.0011489232801132343
BAC_P::Bacteroidota,8,0.005046084383587002,-0.0021987463433284504
BAC_P::Bacteroidota,9,0.005046084383587002,-0.005961661208346902
BAC_P::Bacteroidota,10,0.0,-0.0020758825893301136
BAC_P::Bacteroidota,11,0.0,-0.002360931319055848
BAC_P::Bacteroidota,12,0.0,0.0016734769284352802
BAC_P::Bacteroidota,13,0.005046084383587002,-0.0034859632413265507
BAC_P::Bacteroidota,14,0.005046084383587002,-0.0018447494458418423
BAC_P::Bacteroidota,15,-0.005152513601438313,-0.0027237707572426717
BAC_P::Bacteroidota,16,0.0,-0.002967593125805301
BAC_P::Bacteroidota,17,0.0,-0.0010796449030821553
BAC_P::Bacteroidota,18,0.0,-0.0026526770771670982
BAC_P::Bacteroidota,19,0.0,-0.0025051738997142747
BAC_P::Bacteroidota,20,0.005046084383587002,0.0004876419892438366
BAC_P::Bacteroidota,21,0.0,0.0018596290680470973
BAC_P::Bacteroidota,22,-0.005152513601438313,-0.0018917574885118915
BAC_P::Bacteroidota,23,0.0,-0.0031658957563202583
BAC_P::Bacteroidota,24,0.005046084383587002,-0.0031956985899873613
BAC_P::Bacteroidota,25,0.009989751146855907,-0.006214371378380712
BAC_P::Bacteroidota,26,0.005046084383587002,-0.005974773703073921
BAC_P::Bacteroidota,27,0.019235943416908985,-0.0005419651980886342
BAC_P::Bacteroidota,28,0.0,-0.00423740484883578
BAC_P::Bacteroidota,29,0.0,-0.0029522876810954
BAC_P::Bacteroidota,30,0.005046084383587002,-0.0008706084592774443
BAC_P::Bdellovibrionota,1,0.0,-0.00031694344263838437
BAC_P::Bdellovibrionota,2,0.0,-0.00016932906085381783
BAC_P::Bdellovibrionota,3,0.0,-9.88032976748654e-05
BAC_P::Bdellovibrionota,4,0.0,-0.0001456626817517015
BAC_P::Bdellovibrionota,5,0.0,-0.00017727923207155882
BAC_P::Bdellovibrionota,6,0.0,-4.777117584681134e-05
BAC_P::Bdellovibrionota,7,0.0,-1.47485137267922e-05
BAC_P::Bdellovibrionota,8,0.0,-0.00012705206034641092
BAC_P::Bdellovibrionota,9,0.0,-9.5054051585719e-05
BAC_P::Bdellovibrionota,10,0.0,-5.262835409386435e-05
BAC_P::Bdellovibrionota,11,0.0,-4.2997276398337725e-05
BAC_P::Bdellovibrionota,12,0.0,-2.981412352964785e-05
BAC_P::Bdellovibrionota,13,0.0,-7.461382671819505e-05
BAC_P::Bdellovibrionota,14,0.0,5.176596333833494e-05
BAC_P::Bdellovibrionota,15,0.0,-0.00013968938004793596
BAC_P::Bdellovibrionota,16,0.0,9.889646659799745e-05
BAC_P::Bdellovibrionota,17,0.0,-0.00013489174227498957
BAC_P::Bdellovibrionota,18,0.0,-0.00011248791483775555
BAC_P::Bdellovibrionota,19,0.0,-8.72511464197756e-05
BAC_P::Bdellovibrionota,20,0.0,-0.00014642490734378955
BAC_P::Bdellovibrionota,21,0.0,-4.291771133746458e-05
BAC_P::Bdellovibrionota,22,0.0,-8.407741326649232e-05
BAC_P::Bdellovibrionota,23,0.0,-9.322444812348563e-05
BAC_P::Bdellovibrionota,24,0.0,-9.322444812348563e-05
BAC_P::Bdellovibrionota,25,0.0,-0.00017727923207155882
BAC_P::Bdellovibrionota,26,0.0,-0.0002067762574392007
BAC_P::Bdellovibrionota,27,0.0,-0.00017192837698221108
BAC_P::Bdellovibrionota,28,0.0,-8.477692456865249e-05
BAC_P::Bdellovibrionota,29,0.0,-9.069138755740669e-05
BAC_P::Bdellovibrionota,30,0.0,-0.00012292026714139093
BAC_P::CK-2C2-2,1,0.0,-0.0003299863560149996
BAC_P::CK-2C2-2,2,0.0,6.352398765196998e-05
BAC_P::CK-2C2-2,3,0.0,-0.00032726362073465243
BAC_P::CK-2C2-2,4,0.0,-0.0002899720447493981
BAC_P::CK-2C2-2,5,0.0,-0.0003729713573457083
BAC_P::CK-2C2-2,6,0.0,-0.00032726362073465243
BAC_P::CK-2C2-2,7,0.0,-0.00030853986501006014
BAC_P::CK-2C2-2,8,0.0,-0.00038093075472939164
BAC_P::CK-2C2-2,9,0.0,-0.00036763393880251405
BAC_P::CK-2C2-2,10,0.0,-0.0003299863560149996
BAC_P::CK-2C2-2,11,0.0,-0.0003729713573457083
