feature,reduced_feature,label,n_members
15b0bfccf0cb7d4be743f9d80cdbee05,F00055,15b0bfccf0cb7d4be743f9d80cdbee05,1
15b10aa7b4efdf3697e8f22122c10a1b,F00056,15b10aa7b4efdf3697e8f22122c10a1b,1
16219421f32d92bd5159cb2bd56977ee,F00057,16219421f32d92bd5159cb2bd56977ee,1
16a70af4d0807672e8295cbac805b8bd,F00058,16a70af4d0807672e8295cbac805b8bd,1
16c2f15da415b4546ce1c002e9d4af2f,F00059,16c2f15da415b4546ce1c002e9d4af2f,1
16ef1ff98dad2cf16777aaa2c0d33635,F00060,16ef1ff98dad2cf16777aaa2c0d33635,1
177798f66fd6393a73049c55f280c9b9,F00061,177798f66fd6393a73049c55f280c9b9,1
17a5cac34951320aff4351a4cecce389,F00062,17a5cac34951320aff4351a4cecce389,1
17b2a4d164d40ce376a0e4b4901d5cac,F00063,17b2a4d164d40ce376a0e4b4901d5cac,1
17f5ad00f1550adc7f09ec9878c74854,F00064,17f5ad00f1550adc7f09ec9878c74854,1
1860ac1348a4ec068aa2d397cd2b1007,F00065,1860ac1348a4ec068aa2d397cd2b1007,1
1902a30a4ddc3675115c24b6794d46bd,F00066,1902a30a4ddc3675115c24b6794d46bd,1
1985fcfffa80a9760bb4df268659bdc4,F00067,1985fcfffa80a9760bb4df268659bdc4,1
19d2984a92774f1291ebc1812f80368c,F00068,19d2984a92774f1291ebc1812f80368c,1
19df5df7d3dce1cf54713cee03af91a3,F00069,19df5df7d3dce1cf54713cee03af91a3,1
1a433b76c67f913b4f7cc8407901424b,F00070,1a433b76c67f913b4f7cc8407901424b,1
1a8e3305231911ff8307602f1d620be0,F00071,1a8e3305231911ff8307602f1d620be0,1
1af73f0eefb3c04c700fc2088905b3ba,F00072,1af73f0eefb3c04c700fc2088905b3ba,1
1b0e73089c1018dcb1edadc122fa7908,F00073,1b0e73089c1018dcb1edadc122fa7908,1
1b33a7a47879e83b9e8c83ecdaaa0dc7,F00074,1b33a7a47879e83b9e8c83ecdaaa0dc7,1
1b61f5d09de7591c6bd04b63f6f256fa,F00075,1b61f5d09de7591c6bd04b63f6f256fa,1
1b9bdb8182f6ee15da8d4ff1bdff03c8,F00076,1b9bdb8182f6ee15da8d4ff1bdff03c8,1
1ce759a51bda6ccfa8244bc3c73acd10,F00077,1ce759a51bda6ccfa8244bc3c73acd10,1
1d2bad57aa5d98c59111d1467367f052,F00078,1d2bad57aa5d98c59111d1467367f052,1
1dc18145189a835521f8ae22571a29f5,F00079,1dc18145189a835521f8ae22571a29f5,1
1ddf7a4f8fa50bc3afd457f1b0144ae0,F00080,1ddf7a4f8fa50bc3afd457f1b0144ae0,1
1e3053fb3f6be2394a9b54ad727e0d1e,F00081,1e3053fb3f6be2394a9b54ad727e0d1e,1
1ed98a75337c32869761974b999be691,F00082,1ed98a75337c32869761974b999be691,1
202fc129be5271364de9e4475d4d8914,F00083,202fc129be5271364de9e4475d4d8914,1
203c99c94fdcaee5db62ee4ec73be5a9,F00084,203c99c94fdcaee5db62ee4ec73be5a9,1
206989b6cb5a35fde6bd03f02570591d,F00085,206989b6cb5a35fde6bd03f02570591d,1
21a87cd8028f47d6bdda25b085e23945,F00086,21a87cd8028f47d6bdda25b085e23945,1
2261c757650bb2863b5a85471b882d39,F00087,2261c757650bb2863b5a85471b882d39,1
228d01afca09248ab17fb19eb34625b0,F00088,228d01afca09248ab17fb19eb34625b0,1
2399e6c4417e9ab477e3cab37679e68b,F00089,2399e6c4417e9ab477e3cab37679e68b,1
251329841727364e2710e25f0f832059,F00090,251329841727364e2710e25f0f832059,1
25488e7508f23e737a455c5f6ab2f320,F00091,25488e7508f23e737a455c5f6ab2f320,1
25600b662deddd0dbc2703dea71d3e4b,F00092,25600b662deddd0dbc2703dea71d3e4b,1
25f31a7f3499828c16d4648976563910,F00093,25f31a7f3499828c16d4648976563910,1
268c21529f8215f0ceb9af6a628b64aa,F00094,268c21529f8215f0ceb9af6a628b64aa,1
26dfde9921f01f30c8b635b3015daaa3,F00095,26dfde9921f01f30c8b635b3015daaa3,1
2707ee58f4f033beacef4e1f074e27a0,F00096,2707ee58f4f033beacef4e1f074e27a0,1
27b53cc1463dfa912e1ecc4cc0d34d13,F00097,27b53cc1463dfa912e1ecc4cc0d34d13,1
28268147d2b69e75936c8ba866304dbd,F00098,28268147d2b69e75936c8ba866304dbd,1
284e7a2262ba59a09a25d15af9ae536e,F00099,284e7a2262ba59a09a25d15af9ae536e,1
286ed5db3cf03aacbcee204d7d08e47a,F00100,286ed5db3cf03aacbcee204d7d08e47a,1
29605d99f5fbd1bb2e4a490a00b4d349,F00101,29605d99f5fbd1bb2e4a490a00b4d349,1
29b515ebbd93687e1e3b3d12602ac00a,F00102,29b515ebbd93687e1e3b3d12602ac00a,1
29f9dea325e30deb5543d376067a87d4,F00103,29f9dea325e30deb5543d376067a87d4,1
2a7d97f121d5e05eea35eafde6beadc4,F00104,2a7d97f121d5e05eea35eafde6beadc4,1
2bd4a356fbe963c2c7e5d021661cee3c,F00105,2bd4a356fbe963c2c7e5d021661cee3c,1
2c98184df6446a00ee5b90580c6601e3,F00106,2c98184df6446a00ee5b90580c6601e3,1
2cf90091933c41afe52d7fee1557659e,F00107,2cf90091933c41afe52d7fee1557659e,1
2d143735995516f50d9c67a235592b4f,F00108,2d143735995516f50d9c67a235592b4f,1
2d29d304f6a8155a1507f1d00b5e16b5,F00109,2d29d304f6a8155a1507f1d00b5e16b5,1
2e6f7e61545c37522edb1a3a46092f9d,F00110,2e6f7e61545c37522edb1a3a46092f9d,1
2e80893fef3ded7384a2518e4b47f006,F00111,2e80893fef3ded7384a2518e4b47f006,1
2ef0e295d5dc31de6e9ad11b99788d67,F00112,2ef0e295d5dc31de6e9ad11b99788d67,1
2f83747f714464ed96b5639a7cd34d71,F00113,2f83747f714464ed96b5639a7cd34d71,1
