feature,reduced_feature,label,n_members
361f2df80441ef8eb137e2ec8402ed36,F00055,361f2df80441ef8eb137e2ec8402ed36,1
36371e7fe48a4e48035f8ffeb4f37f68,F00056,36371e7fe48a4e48035f8ffeb4f37f68,1
36d00c9285ae46741b64615ab17c0a0d,F00057,36d00c9285ae46741b64615ab17c0a0d,1
37e0ef0746288b7f27e5a4dc74e4e52d,F00058,37e0ef0746288b7f27e5a4dc74e4e52d,1
380838ded61a8565fe3b24891b27ddd1,F00059,380838ded61a8565fe3b24891b27ddd1,1
393eda0648ea391c4a63da7a83582db0,F00060,393eda0648ea391c4a63da7a83582db0,1
39ff182e02f3725bc7639a275c5e492a,F00061,39ff182e02f3725bc7639a275c5e492a,1
3a0f4c2cc7c4f255d83b89e35c600e79,F00062,3a0f4c2cc7c4f255d83b89e35c600e79,1
3b78e9e70e3d141ba9821984aacf2442,F00063,3b78e9e70e3d141ba9821984aacf2442,1
3bdb54d153e29e5031cd86dbebb82c0f,F00064,3bdb54d153e29e5031cd86dbebb82c0f,1
3d0372c2617dde0afd7c0c7eb0b491fa,F00065,3d0372c2617dde0afd7c0c7eb0b491fa,1
3e1bf73bcefee779c6ad3febd8ca308e,F00066,3e1bf73bcefee779c6ad3febd8ca308e,1
3e5ec8f42ede6f4f01107af9382add0e,F00067,3e5ec8f42ede6f4f01107af9382add0e,1
413190b708680397b48a41c6cea96596,F00068,413190b708680397b48a41c6cea96596,1
4376685f66a798b6c87a2f4366f7d22f,F00069,4376685f66a798b6c87a2f4366f7d22f,1
438b96dda03253c86b040473e331369b,F00070,438b96dda03253c86b040473e331369b,1
445dc53b12d6e5b8232ccee00874e771,F00071,445dc53b12d6e5b8232ccee00874e771,1
4476427f8828518c98d3d71b4d592064,F00072,4476427f8828518c98d3d71b4d592064,1
46a84056a1c5f478df5e053b6d82b742,F00073,46a84056a1c5f478df5e053b6d82b742,1
4789eb27dd9afd4ee5fe92d02321b207,F00074,4789eb27dd9afd4ee5fe92d02321b207,1
48a3218ea6c7d2e9b871bc2fe2eb67fd,F00075,48a3218ea6c7d2e9b871bc2fe2eb67fd,1
49f6afb1b07502b16816d4121a14e8ad,F00076,49f6afb1b07502b16816d4121a14e8ad,1
4aabe95e3337fe1b52306f2880c57ea3,F00077,4aabe95e3337fe1b52306f2880c57ea3,1
4bb10f8e91c3ae34f5d998d4ead84548,F00078,4bb10f8e91c3ae34f5d998d4ead84548,1
4dd8e53b85df57f8933e3787e96b3f32,F00079,4dd8e53b85df57f8933e3787e96b3f32,1
50c3f2b2135b7ceb31b6807529e18e3e,F00080,50c3f2b2135b7ceb31b6807529e18e3e,1
5186e89c6c3b367e75f09f3a81162756,F00081,5186e89c6c3b367e75f09f3a81162756,1
52c5115c499531effd32b37858a16f6e,F00082,52c5115c499531effd32b37858a16f6e,1
53449f1b4520e07e70f05798c49b802f,F00083,53449f1b4520e07e70f05798c49b802f,1
539139bca6af7097d7de9896add6685a,F00084,539139bca6af7097d7de9896add6685a,1
54ba53dda656cb7f5c8efe55176ce429,F00085,54ba53dda656cb7f5c8efe55176ce429,1
54d39a3fb068e017ebe8de695db88924,F00086,54d39a3fb068e017ebe8de695db88924,1
5524990de97af1c276baf5dd19aaf886,F00087,5524990de97af1c276baf5dd19aaf886,1
570d65da59899baae8587e5dcf64eacb,F00088,570d65da59899baae8587e5dcf64eacb,1
574445eb2eccfe24f78ced768eb32bf8,F00089,574445eb2eccfe24f78ced768eb32bf8,1
58cd46522591ccafb0c31dd05d0be3d8,F00090,58cd46522591ccafb0c31dd05d0be3d8,1
591ddaa9e7caf642ff33a0f489d1b5a2,F00091,591ddaa9e7caf642ff33a0f489d1b5a2,1
591e6c81a105e23ccd3963c6b96fbce6,F00092,591e6c81a105e23ccd3963c6b96fbce6,1
59cf2ee462acd159fd9ceca618e5b2c1,F00093,59cf2ee462acd159fd9ceca618e5b2c1,1
