feature,reduced_feature,label,n_members
94dd0e8babaa6ccb7b9e12f497ea4773,F00201,clade00102,9
9a4d00f3f8a14dc8f2ff7fabf04f6ebb,F00201,clade00102,9
ca8d0a8123dfcdaed30eb0c534b00db9,F00201,clade00102,9
d939e81b4199d074f14d7056eaa88d14,F00201,clade00102,9
f564537bd84fc6fc7664934190ec6824,F00201,clade00102,9
c7296ef1f151ce35671f25582df609dc,F00202,clade00103,2
d7c555c6a185de9a0a44e98fb0be730d,F00202,clade00103,2
1a433b76c67f913b4f7cc8407901424b,F00203,clade00104,3
9b62d6c84b96aa64eaeff3b764d77da1,F00203,clade00104,3
a4b21ca3dc01eada0962e57c2fded727,F00203,clade00104,3
381cc4167053f528de8e10567d4a509e,F00204,clade00105,3
3b768ad6b26d688837b3511e5d2316d2,F00204,clade00105,3
7f90457e0b5af1edd82418cb3c9089b4,F00204,clade00105,3
38b4614f196a6b70fbaaf8e7a4e8c93c,F00205,clade00106,3
7fb850c5cd377da752f7b081daed5032,F00205,clade00106,3
ff99ce9f30cb848340bb383b42d8d180,F00205,clade00106,3
6a00550a934a2665f470eeec33616366,F00206,clade00107,2
d43d3c9dc33aa66b585a098fc7709276,F00206,clade00107,2
1050f5391c721945e2d13b52590863c8,F00207,clade00108,5
16c2f15da415b4546ce1c002e9d4af2f,F00207,clade00108,5
78977f9f4a20502c6b3b7ebac9c44e8a,F00207,clade00108,5
abb98aa85e9528ef54e3078ff40ac726,F00207,clade00108,5
fcbf3bff176f502b94454a3fff27335a,F00207,clade00108,5
4194fdb699f4d5c9620e1e7cfb8b009b,F00208,clade00109,5
58de505db56b2250b12c7cd7ec5bfa50,F00208,clade00109,5
783749c187ad3cb6e60ccecdd73fd8ef,F00208,clade00109,5
c17275cccc27dc9a4ab351a310c063c8,F00208,clade00109,5
c4a2579e95fee657cb355e865aa027af,F00208,clade00109,5
19d2984a92774f1291ebc1812f80368c,F00209,clade00110,3
88fa6e2c26361b8b7ca8a72ae1ed781f,F00209,clade00110,3
eb0898e38a817c5648a19a5e3db2c1be,F00209,clade00110,3
d873c4acbf2c996cb42e58cf0f9e3b40,F00210,d873c4acbf2c996cb42e58cf0f9e3b40,1
d9c2400008e36a10b968c780d90be422,F00211,d9c2400008e36a10b968c780d90be422,1
d9d074f2dcb99d118afa7eab33709c2f,F00212,d9d074f2dcb99d118afa7eab33709c2f,1
dc06660789675de951ce2fcb6354a127,F00213,dc06660789675de951ce2fcb6354a127,1
e402879c282f05a14dc00c02d0ad2f89,F00214,e402879c282f05a14dc00c02d0ad2f89,1
ea512c14b4e04fd4ce2148eb3a4200db,F00215,ea512c14b4e04fd4ce2148eb3a4200db,1
eef60686529eec55347e5ffdea52d3d0,F00216,eef60686529eec55347e5ffdea52d3d0,1
fbef5593b7293242812ccfc8c583f94e,F00217,fbef5593b7293242812ccfc8c583f94e,1
fc0651422f017372960928f220b834d7,F00218,fc0651422f017372960928f220b834d7,1
fe2b813cbebe4e8baf75cd3b6d3e7edd,F00219,fe2b813cbebe4e8baf75cd3b6d3e7edd,1
